Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 3-year-old boy presents with his parents to a pediatrician for a new patient visit.,0,7,5.675715733782571,A 3-year-old boy presents with his parents to a pediatrician for a new patient visit.,150,MedBullets df_op4 Q151,A,He has a fair complexion and tall stature with a prominent sternum.,7,7
The child was recently adopted and little is known about his medical or family history.,1,8,0.1626493280022707,The child was recently adopted and little is known about his medical or family history.,150,MedBullets df_op4 Q151,A,The patient also has joint hypermobility and hyperelastic skin.,8,8
"The child seems to be doing well, but the patient is much larger than any of the other 3-year-olds in his preschool class.",2,4,29.86840844154358,"The child seems to be doing well, but the patient is much larger than any of the other 3-year-olds in his preschool class.",150,MedBullets df_op4 Q151,A,"His temperature is 98.6°F (37°C), blood pressure is 101/67 mmHg, pulse is 110/min, and respirations are 24/min.",4,4
He eats a varied diet at home and with limited juice and snack foods.,3,5,20.83885887772013,He eats a varied diet at home and with limited juice and snack foods.,150,MedBullets df_op4 Q151,A,"On physical exam, the patient is in the 73rd percentile for weight, 99th percentile for height, and 86th percentile for head circumference.",5,5
"His temperature is 98.6°F (37°C), blood pressure is 101/67 mmHg, pulse is 110/min, and respirations are 24/min.",4,2,51.24986148537142,"His temperature is 98.6°F (37°C), blood pressure is 101/67 mmHg, pulse is 110/min, and respirations are 24/min.",150,MedBullets df_op4 Q151,A,"The child seems to be doing well, but the patient is much larger than any of the other 3-year-olds in his preschool class.",2,2
"On physical exam, the patient is in the 73rd percentile for weight, 99th percentile for height, and 86th percentile for head circumference.",5,1,52.630909417428654,"On physical exam, the patient is in the 73rd percentile for weight, 99th percentile for height, and 86th percentile for head circumference.",150,MedBullets df_op4 Q151,A,The child was recently adopted and little is known about his medical or family history.,1,1
He appears mildly developmentally delayed.,6,9,0.0,He appears mildly developmentally delayed.,150,MedBullets df_op4 Q151,A,"He appears to have poor visual acuity and is referred to an ophthalmologist, who finds downward lens subluxation of the right eye.",9,9
He has a fair complexion and tall stature with a prominent sternum.,7,6,16.095046383795577,He has a fair complexion and tall stature with a prominent sternum.,150,MedBullets df_op4 Q151,A,He appears mildly developmentally delayed.,6,6
The patient also has joint hypermobility and hyperelastic skin.,8,3,41.772758928038485,The patient also has joint hypermobility and hyperelastic skin.,150,MedBullets df_op4 Q151,A,He eats a varied diet at home and with limited juice and snack foods.,3,3
"He appears to have poor visual acuity and is referred to an ophthalmologist, who finds downward lens subluxation of the right eye.",9,0,103.04356451014874,"He appears to have poor visual acuity and is referred to an ophthalmologist, who finds downward lens subluxation of the right eye.",150,MedBullets df_op4 Q151,A,A 3-year-old boy presents with his parents to a pediatrician for a new patient visit.,0,0
