Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 25-year-old man presents to his primary care physician for trouble with focus and concentration.,0,6,10.956055368685533,A 25-year-old man presents to his primary care physician for trouble with focus and concentration.,203,MedBullets df_op4 Q204,A,The patient states that he feels fatigued all the time and sometimes will suddenly fall asleep while operating equipment.,6,6
He states that he lives at home with his parents his entire life and recently was able to get a job at a local factory.,1,1,34.938211323045486,He states that he lives at home with his parents his entire life and recently was able to get a job at a local factory.,203,MedBullets df_op4 Q204,A,He states that he lives at home with his parents his entire life and recently was able to get a job at a local factory.,1,1
"Ever since the patient started working, he has had trouble focusing on his job.",2,3,18.523298412561417,"Ever since the patient started working, he has had trouble focusing on his job.",203,MedBullets df_op4 Q204,A,He is unable to stay focused on any task.,3,3
He is unable to stay focused on any task.,3,10,0.0,He is unable to stay focused on any task.,203,MedBullets df_op4 Q204,A,The patient fears that if this continues he will lose his job.,10,10
"His boss often observes him ""daydreaming"" with a blank stare off into space.",4,2,31.70129776824062,"His boss often observes him ""daydreaming"" with a blank stare off into space.",203,MedBullets df_op4 Q204,A,"Ever since the patient started working, he has had trouble focusing on his job.",2,2
His boss will have to yell at him to startle him back to work.,5,9,0.0,His boss will have to yell at him to startle him back to work.,203,MedBullets df_op4 Q204,A,A physical exam is within normal limits.,9,9
The patient states that he feels fatigued all the time and sometimes will suddenly fall asleep while operating equipment.,6,0,42.32038722677175,The patient states that he feels fatigued all the time and sometimes will suddenly fall asleep while operating equipment.,203,MedBullets df_op4 Q204,A,A 25-year-old man presents to his primary care physician for trouble with focus and concentration.,0,0
He has tried going to bed early for the past month but is unable to fall asleep until 2 hours prior to his alarm.,7,4,15.09750236923342,He has tried going to bed early for the past month but is unable to fall asleep until 2 hours prior to his alarm.,203,MedBullets df_op4 Q204,A,"His boss often observes him ""daydreaming"" with a blank stare off into space.",4,4
"His temperature is 98.6°F (37°C), blood pressure is 112/68 mmHg, pulse is 81/min, and respirations are 12/min.",8,7,6.294708578949881,"His temperature is 98.6°F (37°C), blood pressure is 112/68 mmHg, pulse is 81/min, and respirations are 12/min.",203,MedBullets df_op4 Q204,A,He has tried going to bed early for the past month but is unable to fall asleep until 2 hours prior to his alarm.,7,7
A physical exam is within normal limits.,9,8,2.211605705375161,A physical exam is within normal limits.,203,MedBullets df_op4 Q204,A,"His temperature is 98.6°F (37°C), blood pressure is 112/68 mmHg, pulse is 81/min, and respirations are 12/min.",8,8
The patient fears that if this continues he will lose his job.,10,5,13.199337253680389,The patient fears that if this continues he will lose his job.,203,MedBullets df_op4 Q204,A,His boss will have to yell at him to startle him back to work.,5,5
