Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 3-month-old boy presents to the pediatrician with his mother for a well-child visit.,0,4,48.89701550858363,A 3-month-old boy presents to the pediatrician with his mother for a well-child visit.,138,MedBullets df_op4 Q139,A,He does not seem interested in additional feeding after these episodes of regurgitation and he has become progressively more irritable around meal times.,4,4
The patient drinks 4 ounces of cow’s milk formula every 3 hours.,1,8,27.86034332254611,The patient drinks 4 ounces of cow’s milk formula every 3 hours.,138,MedBullets df_op4 Q139,A,His height and head circumference have followed similar trends.,8,8
He usually stools 1 time per day and urinates up to 6 times per day.,2,3,51.51989880204201,He usually stools 1 time per day and urinates up to 6 times per day.,138,MedBullets df_op4 Q139,A,He regurgitates a moderate amount of formula through his nose and mouth after most feeds.,3,3
He regurgitates a moderate amount of formula through his nose and mouth after most feeds.,3,5,40.32472809257288,He regurgitates a moderate amount of formula through his nose and mouth after most feeds.,138,MedBullets df_op4 Q139,A,The patient is starting to refuse some feeds.,5,5
He does not seem interested in additional feeding after these episodes of regurgitation and he has become progressively more irritable around meal times.,4,0,82.91543735247758,He does not seem interested in additional feeding after these episodes of regurgitation and he has become progressively more irritable around meal times.,138,MedBullets df_op4 Q139,A,A 3-month-old boy presents to the pediatrician with his mother for a well-child visit.,0,0
The patient is starting to refuse some feeds.,5,11,0.0,The patient is starting to refuse some feeds.,138,MedBullets df_op4 Q139,A,"His abdomen is soft, non-tender, and non-distended.",11,11
His mother denies seeing blood or streaks of red in his stool and she denies any family history of food allergies or dermatological problems.,6,7,31.022493010219574,His mother denies seeing blood or streaks of red in his stool and she denies any family history of food allergies or dermatological problems.,138,MedBullets df_op4 Q139,A,The patient’s weight was in the 62nd percentile 4 weeks ago and he is now in the 48th percentile.,7,7
The patient’s weight was in the 62nd percentile 4 weeks ago and he is now in the 48th percentile.,7,6,32.2182784953943,The patient’s weight was in the 62nd percentile 4 weeks ago and he is now in the 48th percentile.,138,MedBullets df_op4 Q139,A,His mother denies seeing blood or streaks of red in his stool and she denies any family history of food allergies or dermatological problems.,6,6
His height and head circumference have followed similar trends.,8,10,15.931360191724584,His height and head circumference have followed similar trends.,138,MedBullets df_op4 Q139,A,"On physical exam, the patient smiles reciprocally and can lift his head and chest when in the prone position.",10,10
"His temperature is 98.2°F (36.8°C), blood pressure is 72/47 mmHg, pulse is 125/min, and respirations are 27/min.",9,1,65.34255128919774,"His temperature is 98.2°F (36.8°C), blood pressure is 72/47 mmHg, pulse is 125/min, and respirations are 27/min.",138,MedBullets df_op4 Q139,A,The patient drinks 4 ounces of cow’s milk formula every 3 hours.,1,1
"On physical exam, the patient smiles reciprocally and can lift his head and chest when in the prone position.",10,2,62.664189650874725,"On physical exam, the patient smiles reciprocally and can lift his head and chest when in the prone position.",138,MedBullets df_op4 Q139,A,He usually stools 1 time per day and urinates up to 6 times per day.,2,2
"His abdomen is soft, non-tender, and non-distended.",11,9,23.546454391347847,"His abdomen is soft, non-tender, and non-distended.",138,MedBullets df_op4 Q139,A,"His temperature is 98.2°F (36.8°C), blood pressure is 72/47 mmHg, pulse is 125/min, and respirations are 27/min.",9,9
