Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 60-year-old man presents to his primary care physician with weight gain.,0,7,27.86525398378801,A 60-year-old man presents to his primary care physician with weight gain.,283,MedBullets df_op4 Q284,A,Physical exam reveals a stable gait and reduced sensation symmetrically over the lower extremities.,7,7
"He states that ever since his wife died 4 months ago, he has been eating and sleeping more and no longer engages in any activities he once enjoyed such as hiking or fishing.",1,0,64.97927948464415,"He states that ever since his wife died 4 months ago, he has been eating and sleeping more and no longer engages in any activities he once enjoyed such as hiking or fishing.",283,MedBullets df_op4 Q284,A,A 60-year-old man presents to his primary care physician with weight gain.,0,0
He feels guilty for not spending more time with his wife before she died.,2,3,34.07783177867532,He feels guilty for not spending more time with his wife before she died.,283,MedBullets df_op4 Q284,A,He was recently fired for making several major bookkeeping mistakes at work as an accountant as he had trouble focusing.,3,3
He was recently fired for making several major bookkeeping mistakes at work as an accountant as he had trouble focusing.,3,1,61.90588589958646,He was recently fired for making several major bookkeeping mistakes at work as an accountant as he had trouble focusing.,283,MedBullets df_op4 Q284,A,"He states that ever since his wife died 4 months ago, he has been eating and sleeping more and no longer engages in any activities he once enjoyed such as hiking or fishing.",1,1
The patient is requesting oxycodone at this appointment as he states he has burning pain in his legs that feels worse now than it has in years past.,4,9,0.0,The patient is requesting oxycodone at this appointment as he states he has burning pain in his legs that feels worse now than it has in years past.,283,MedBullets df_op4 Q284,A,His affect seems depressed.,9,9
"The patient has a past medical history of obesity, poorly controlled diabetes, hypertension, and peripheral vascular disease.",5,5,28.86432956376472,"The patient has a past medical history of obesity, poorly controlled diabetes, hypertension, and peripheral vascular disease.",283,MedBullets df_op4 Q284,A,"The patient has a past medical history of obesity, poorly controlled diabetes, hypertension, and peripheral vascular disease.",5,5
"His temperature is 98.7°F (37.1°C), blood pressure is 129/82 mmHg, pulse is 83/min, respirations are 15/min, and oxygen saturation is 99% on room air.",6,2,60.62564459610042,"His temperature is 98.7°F (37.1°C), blood pressure is 129/82 mmHg, pulse is 83/min, respirations are 15/min, and oxygen saturation is 99% on room air.",283,MedBullets df_op4 Q284,A,He feels guilty for not spending more time with his wife before she died.,2,2
Physical exam reveals a stable gait and reduced sensation symmetrically over the lower extremities.,7,4,31.35322900041464,Physical exam reveals a stable gait and reduced sensation symmetrically over the lower extremities.,283,MedBullets df_op4 Q284,A,The patient is requesting oxycodone at this appointment as he states he has burning pain in his legs that feels worse now than it has in years past.,4,4
He complains of electric pain when touching his lower extremities.,8,6,28.48184952078019,He complains of electric pain when touching his lower extremities.,283,MedBullets df_op4 Q284,A,"His temperature is 98.7°F (37.1°C), blood pressure is 129/82 mmHg, pulse is 83/min, respirations are 15/min, and oxygen saturation is 99% on room air.",6,6
His affect seems depressed.,9,8,0.0,His affect seems depressed.,283,MedBullets df_op4 Q284,A,He complains of electric pain when touching his lower extremities.,8,8
