Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 57-year-old woman presents to the emergency department for a headache.,0,7.0,11.29273790227807,A 57-year-old woman presents to the emergency department for a headache.,86.0,MedBullets df_op4 Q87,D,"Her temperature is 99.5°F (37.5°C), blood pressure is 187/118 mmHg, pulse is 120/min, respirations are 17/min, and oxygen saturation is 98% on room air.",7.0,7.0
She was at home when a sudden headache began with greater severity than she had experienced in the past.,1,11.0,0.0,She was at home when a sudden headache began with greater severity than she had experienced in the past.,86.0,MedBullets df_op4 Q87,D,,,
She presented within 30 minutes of symptom onset.,2,8.0,10.852992925792933,She presented within 30 minutes of symptom onset.,86.0,MedBullets df_op4 Q87,D,"On physical exam, the patient is noted to be uncomfortable with the appearance shown in Figure A.",8.0,8.0
"The patient has a medical history of sinusitis, constipation, diabetes, and pelvic inflammatory disease.",3,3.0,30.22757041331407,"The patient has a medical history of sinusitis, constipation, diabetes, and pelvic inflammatory disease.",86.0,MedBullets df_op4 Q87,D,"The patient has a medical history of sinusitis, constipation, diabetes, and pelvic inflammatory disease.",3.0,3.0
"Her current medications include fexofenadine, oral contraceptive pills, and metformin.",4,1.0,33.30864249095888,"Her current medications include fexofenadine, oral contraceptive pills, and metformin.",86.0,MedBullets df_op4 Q87,D,She was at home when a sudden headache began with greater severity than she had experienced in the past.,1.0,1.0
She is currently taking amoxicillin for a sinus infection.,5,5.0,17.623264510499002,She is currently taking amoxicillin for a sinus infection.,86.0,MedBullets df_op4 Q87,D,She is currently taking amoxicillin for a sinus infection.,5.0,5.0
She smokes 1 pack of cigarettes per day and drinks 2-3 alcoholic beverages daily.,6,6.0,12.63081885483516,She smokes 1 pack of cigarettes per day and drinks 2-3 alcoholic beverages daily.,86.0,MedBullets df_op4 Q87,D,She smokes 1 pack of cigarettes per day and drinks 2-3 alcoholic beverages daily.,6.0,6.0
"Her temperature is 99.5°F (37.5°C), blood pressure is 187/118 mmHg, pulse is 120/min, respirations are 17/min, and oxygen saturation is 98% on room air.",7,0.0,74.09651443207801,"Her temperature is 99.5°F (37.5°C), blood pressure is 187/118 mmHg, pulse is 120/min, respirations are 17/min, and oxygen saturation is 98% on room air.",86.0,MedBullets df_op4 Q87,D,A 57-year-old woman presents to the emergency department for a headache.,0.0,0.0
"On physical exam, the patient is noted to be uncomfortable with the appearance shown in Figure A.",8,10.0,1.9703468633122303,"On physical exam, the patient is noted to be uncomfortable with the appearance shown in Figure A.",86.0,MedBullets df_op4 Q87,D,Abdominal exam is within normal limits.,10.0,10.0
"Neurological exam reveals a confused woman who is now complaining of ""seeing double."" Cardiopulmonary exam reveals mild bibasilar crackles and tachycardia.",9,,,,,,,,,
Abdominal exam is within normal limits.,10,9.0,3.4811591597083984,Abdominal exam is within normal limits.,86.0,MedBullets df_op4 Q87,D,"Neurological exam reveals a confused woman who is now complaining of ""seeing double."" Cardiopulmonary exam reveals mild bibasilar crackles and tachycardia.",9.0,9.0
