Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 43-year-old man presents to the emergency department acutely with altered mental status.,0,9,0.0,A 43-year-old man presents to the emergency department acutely with altered mental status.,277,MedBullets df_op4 Q278,,"The patient is started on norepinephrine, and his blood pressure is subsequently found to be 85/44 mmHg.",9,9
He uses intravenous drugs and is unable to offer a history.,1,4,8.560425668852016,He uses intravenous drugs and is unable to offer a history.,277,MedBullets df_op4 Q278,,"Physical exam reveals an obtunded man covered in vomit, with track marks on his arm and several skin abscesses.",4,4
He was found unconscious in a park.,2,8,0.0,He was found unconscious in a park.,277,MedBullets df_op4 Q278,,An ECG is obtained as seen in Figure A.,8,8
"His temperature is 99.0°F (37.2°C), blood pressure is 80/40 mmHg, pulse is 156/min, and respirations are 26/min.",3,2,54.72112305773027,"His temperature is 99.0°F (37.2°C), blood pressure is 80/40 mmHg, pulse is 156/min, and respirations are 26/min.",277,MedBullets df_op4 Q278,,He was found unconscious in a park.,2,2
"Physical exam reveals an obtunded man covered in vomit, with track marks on his arm and several skin abscesses.",4,0,76.1237612120302,"Physical exam reveals an obtunded man covered in vomit, with track marks on his arm and several skin abscesses.",277,MedBullets df_op4 Q278,,A 43-year-old man presents to the emergency department acutely with altered mental status.,0,0
The patient is given 4 liters of Ringer lactate and intravenous antibiotics.,5,3,25.974926586125648,The patient is given 4 liters of Ringer lactate and intravenous antibiotics.,277,MedBullets df_op4 Q278,,"His temperature is 99.0°F (37.2°C), blood pressure is 80/40 mmHg, pulse is 156/min, and respirations are 26/min.",3,3
"As the fourth liter of fluids is finishing, the patient is noted to have jugular venous distension and an oxygen saturation of 92% on nonrebreather.",6,1,65.15949785356268,"As the fourth liter of fluids is finishing, the patient is noted to have jugular venous distension and an oxygen saturation of 92% on nonrebreather.",277,MedBullets df_op4 Q278,,He uses intravenous drugs and is unable to offer a history.,1,1
He is subsequently intubated.,7,7,0.0,He is subsequently intubated.,277,MedBullets df_op4 Q278,,He is subsequently intubated.,7,7
An ECG is obtained as seen in Figure A.,8,6,0.0,An ECG is obtained as seen in Figure A.,277,MedBullets df_op4 Q278,,"As the fourth liter of fluids is finishing, the patient is noted to have jugular venous distension and an oxygen saturation of 92% on nonrebreather.",6,6
"The patient is started on norepinephrine, and his blood pressure is subsequently found to be 85/44 mmHg.",9,5,0.0,"The patient is started on norepinephrine, and his blood pressure is subsequently found to be 85/44 mmHg.",277,MedBullets df_op4 Q278,,The patient is given 4 liters of Ringer lactate and intravenous antibiotics.,5,5
