Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 9-year-old girl presents to the emergency department with a fever and a change in her behavior.,0,40.57157416751226,A 9-year-old girl presents to the emergency department with a fever and a change in her behavior.,1,1,MedBullets df_op4 Q2,D,She presented with similar symptoms 6 weeks ago and was treated for an Escherchia coli infection.,1,1
She presented with similar symptoms 6 weeks ago and was treated for an Escherchia coli infection.,1,0.147763300046285,She presented with similar symptoms 6 weeks ago and was treated for an Escherchia coli infection.,9,1,MedBullets df_op4 Q2,D,"Her temperature is 99.5°F (37.5°C), blood pressure is 60/35 mmHg, pulse is 190/min, respirations are 33/min, and oxygen saturation is 98% on room air.",9,9
She also was treated for a urinary tract infection 10 weeks ago.,2,15.604134418070316,She also was treated for a urinary tract infection 10 weeks ago.,6,1,MedBullets df_op4 Q2,D,The patient was born at 39 weeks and met all her developmental milestones.,6,6
"Her mother says that last night her daughter felt ill, and her condition has been worsening.",3,23.355070220084468,"Her mother says that last night her daughter felt ill, and her condition has been worsening.",3,1,MedBullets df_op4 Q2,D,"Her mother says that last night her daughter felt ill, and her condition has been worsening.",3,3
Her daughter experienced a severe headache and had a stiff neck.,4,13.36622573397452,Her daughter experienced a severe headache and had a stiff neck.,7,1,MedBullets df_op4 Q2,D,She is currently up to date on her vaccinations and did not have infections during early childhood.,7,7
"This morning she was minimally responsive, vomited several times, and produced a small amount of dark cloudy urine.",5,33.94132738799227,"This morning she was minimally responsive, vomited several times, and produced a small amount of dark cloudy urine.",2,1,MedBullets df_op4 Q2,D,She also was treated for a urinary tract infection 10 weeks ago.,2,2
The patient was born at 39 weeks and met all her developmental milestones.,6,1.9706277381924884,The patient was born at 39 weeks and met all her developmental milestones.,8,1,MedBullets df_op4 Q2,D,Her parents are divorced and her father has noted she does not seem to get sick when he takes care of her.,8,8
She is currently up to date on her vaccinations and did not have infections during early childhood.,7,22.963647233675,She is currently up to date on her vaccinations and did not have infections during early childhood.,4,1,MedBullets df_op4 Q2,D,Her daughter experienced a severe headache and had a stiff neck.,4,4
Her parents are divorced and her father has noted she does not seem to get sick when he takes care of her.,8,-0.0,Her parents are divorced and her father has noted she does not seem to get sick when he takes care of her.,10,1,MedBullets df_op4 Q2,D,"The patient is started on intravenous fluids, vasopressors, and broad-spectrum antibiotics.",10,10
"Her temperature is 99.5°F (37.5°C), blood pressure is 60/35 mmHg, pulse is 190/min, respirations are 33/min, and oxygen saturation is 98% on room air.",9,88.22517242349905,"Her temperature is 99.5°F (37.5°C), blood pressure is 60/35 mmHg, pulse is 190/min, respirations are 33/min, and oxygen saturation is 98% on room air.",0,1,MedBullets df_op4 Q2,D,A 9-year-old girl presents to the emergency department with a fever and a change in her behavior.,0,0
"The patient is started on intravenous fluids, vasopressors, and broad-spectrum antibiotics.",10,21.733467084171245,"The patient is started on intravenous fluids, vasopressors, and broad-spectrum antibiotics.",5,1,MedBullets df_op4 Q2,D,"This morning she was minimally responsive, vomited several times, and produced a small amount of dark cloudy urine.",5,5
