Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 55-year-old woman is brought to the emergency department by her husband with a 1 hour history of an unremitting headache.,0,10.618909473246344,A 55-year-old woman is brought to the emergency department by her husband with a 1 hour history of an unremitting headache.,5,4,MedBullets df_op4 Q5,C,"Her medical problems consist of heart failure for which she takes furosemide, spironolactone, and metoprolol, which were continued at admission.",5,5
"The headache started suddenly while she was eating dinner and she says it feels like the “worst headache of my life.” An emergent CT scan of the head without contrast confirms the diagnosis, and a CT angiogram identifies the source of bleeding.",1,91.2915504917992,"The headache started suddenly while she was eating dinner and she says it feels like the “worst headache of my life.” An emergent CT scan of the head without contrast confirms the diagnosis, and a CT angiogram identifies the source of bleeding.",0,4,MedBullets df_op4 Q5,C,A 55-year-old woman is brought to the emergency department by her husband with a 1 hour history of an unremitting headache.,0,0
The patient undergoes surgical management of her condition.,2,0.0,The patient undergoes surgical management of her condition.,10,4,MedBullets df_op4 Q5,C,Urine sodium is 44 mEq/L.,10,10
"On hospital day 3, she is found to be disoriented to person, place, and time.",3,32.63957160637579,"On hospital day 3, she is found to be disoriented to person, place, and time.",4,4,MedBullets df_op4 Q5,C,She also develops nausea and vomiting.,4,4
She also develops nausea and vomiting.,4,0.0,She also develops nausea and vomiting.,9,4,MedBullets df_op4 Q5,C,Serum laboratory results are shown below: Na+: 120 mEq/L Cl-: 92 mEq/L K+: 3.9 mEq/L HCO3-: 26 mEq/L BUN: 32 mg/dL Creatinine: 1.0 mg/dL Serum osmolality is 265 mEq/L and urine osmolality is 340 mEq/L.,9,9
"Her medical problems consist of heart failure for which she takes furosemide, spironolactone, and metoprolol, which were continued at admission.",5,62.25738683372907,"Her medical problems consist of heart failure for which she takes furosemide, spironolactone, and metoprolol, which were continued at admission.",1,4,MedBullets df_op4 Q5,C,"The headache started suddenly while she was eating dinner and she says it feels like the “worst headache of my life.” An emergent CT scan of the head without contrast confirms the diagnosis, and a CT angiogram identifies the source of bleeding.",1,1
"Her temperature is 99.6°F (37.6°C), blood pressure is 100/60 mmHg, pulse is 112/min, and respirations are 16/min.",6,41.59886582788985,"Her temperature is 99.6°F (37.6°C), blood pressure is 100/60 mmHg, pulse is 112/min, and respirations are 16/min.",3,4,MedBullets df_op4 Q5,C,"On hospital day 3, she is found to be disoriented to person, place, and time.",3,3
Physical examination shows poor skin turgor.,7,2.0476105289816813,Physical examination shows poor skin turgor.,7,4,MedBullets df_op4 Q5,C,Physical examination shows poor skin turgor.,7,7
Capillary refill time is 4 seconds.,8,2.727240672064122,Capillary refill time is 4 seconds.,6,4,MedBullets df_op4 Q5,C,"Her temperature is 99.6°F (37.6°C), blood pressure is 100/60 mmHg, pulse is 112/min, and respirations are 16/min.",6,6
Serum laboratory results are shown below: Na+: 120 mEq/L Cl-: 92 mEq/L K+: 3.9 mEq/L HCO3-: 26 mEq/L BUN: 32 mg/dL Creatinine: 1.0 mg/dL Serum osmolality is 265 mEq/L and urine osmolality is 340 mEq/L.,9,53.47520437060869,Serum laboratory results are shown below: Na+: 120 mEq/L Cl-: 92 mEq/L K+: 3.9 mEq/L HCO3-: 26 mEq/L BUN: 32 mg/dL Creatinine: 1.0 mg/dL Serum osmolality is 265 mEq/L and urine osmolality is 340 mEq/L.,2,4,MedBullets df_op4 Q5,C,The patient undergoes surgical management of her condition.,2,2
Urine sodium is 44 mEq/L.,10,0.2911643285772498,Urine sodium is 44 mEq/L.,8,4,MedBullets df_op4 Q5,C,Capillary refill time is 4 seconds.,8,8
