Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 51-year-old man presents to his primary care provider for intermittent shaking of his hands.,0,0.0,A 51-year-old man presents to his primary care provider for intermittent shaking of his hands.,9,29,MedBullets df_op4 Q30,,His neurological exam is otherwise unremarkable.,9,9
"For the last several years he has noticed this ""shaking"" when he brushes his teeth and prepares a cup of coffee in the morning.",1,0.0,"For the last several years he has noticed this ""shaking"" when he brushes his teeth and prepares a cup of coffee in the morning.",8,29,MedBullets df_op4 Q30,,He has a high-frequency bilateral hand tremor elicited on finger-to-nose testing.,8,8
The shaking then gradually improves over the course of the day.,2,0.0,The shaking then gradually improves over the course of the day.,7,29,MedBullets df_op4 Q30,,"On physical exam, his temperature is 98.6°F (37.0°C), blood pressure is 159/84, pulse is 74/min, and respirations are 12/min.",7,7
His medical history is otherwise notable for hypertension and hyperlipidemia.,3,0.0,His medical history is otherwise notable for hypertension and hyperlipidemia.,6,29,MedBullets df_op4 Q30,,His family history is significant for Parkinson disease in his father.,6,6
His only home medication is pravastatin.,4,-0.0,His only home medication is pravastatin.,5,29,MedBullets df_op4 Q30,,The patient smokes half a pack per day of cigarettes and drinks 2-3 beers throughout the day.,5,5
The patient smokes half a pack per day of cigarettes and drinks 2-3 beers throughout the day.,5,18.334384249259674,The patient smokes half a pack per day of cigarettes and drinks 2-3 beers throughout the day.,1,29,MedBullets df_op4 Q30,,"For the last several years he has noticed this ""shaking"" when he brushes his teeth and prepares a cup of coffee in the morning.",1,1
His family history is significant for Parkinson disease in his father.,6,0.0,His family history is significant for Parkinson disease in his father.,4,29,MedBullets df_op4 Q30,,His only home medication is pravastatin.,4,4
"On physical exam, his temperature is 98.6°F (37.0°C), blood pressure is 159/84, pulse is 74/min, and respirations are 12/min.",7,0.0,"On physical exam, his temperature is 98.6°F (37.0°C), blood pressure is 159/84, pulse is 74/min, and respirations are 12/min.",3,29,MedBullets df_op4 Q30,,His medical history is otherwise notable for hypertension and hyperlipidemia.,3,3
He has a high-frequency bilateral hand tremor elicited on finger-to-nose testing.,8,46.81669263839229,He has a high-frequency bilateral hand tremor elicited on finger-to-nose testing.,0,29,MedBullets df_op4 Q30,,A 51-year-old man presents to his primary care provider for intermittent shaking of his hands.,0,0
His neurological exam is otherwise unremarkable.,9,-0.0,His neurological exam is otherwise unremarkable.,2,29,MedBullets df_op4 Q30,,The shaking then gradually improves over the course of the day.,2,2
