Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 21-year-old woman presents to her primary care physician due to a history of abdominal pain.,0,6,10.037743957865192,A 21-year-old woman presents to her primary care physician due to a history of abdominal pain.,298,MedBullets df_op4 Q299,D,She experienced menarche at age 12 and has regular periods.,6,6
"She states that she has had recurrent bouts of mood swings, bloating, and abdominal pain that occur together approximately every 4 weeks.",1,1,41.418867913638586,"She states that she has had recurrent bouts of mood swings, bloating, and abdominal pain that occur together approximately every 4 weeks.",298,MedBullets df_op4 Q299,D,"She states that she has had recurrent bouts of mood swings, bloating, and abdominal pain that occur together approximately every 4 weeks.",1,1
"She states that when these symptoms occur, she gets into frequent arguments at work, is unable to concentrate, and sleeps longer than usual.",2,0,42.852335050702095,"She states that when these symptoms occur, she gets into frequent arguments at work, is unable to concentrate, and sleeps longer than usual.",298,MedBullets df_op4 Q299,D,A 21-year-old woman presents to her primary care physician due to a history of abdominal pain.,0,0
"Furthermore, she has episodes of extreme anxiety during these periods, leading her to take off time from work.",3,3,21.96151462368172,"Furthermore, she has episodes of extreme anxiety during these periods, leading her to take off time from work.",298,MedBullets df_op4 Q299,D,"Furthermore, she has episodes of extreme anxiety during these periods, leading her to take off time from work.",3,3
She notes that these symptoms are causing distress in her interpersonal relationships as well.,4,9,-0.0,She notes that these symptoms are causing distress in her interpersonal relationships as well.,298,MedBullets df_op4 Q299,D,Pelvic exam reveals a closed cervix with no cervical motion or adnexal tenderness.,9,9
She has no past medical history and takes no medications.,5,5,15.625303764223794,She has no past medical history and takes no medications.,298,MedBullets df_op4 Q299,D,She has no past medical history and takes no medications.,5,5
She experienced menarche at age 12 and has regular periods.,6,10,-0.0,She experienced menarche at age 12 and has regular periods.,298,MedBullets df_op4 Q299,D,Her cardiopulmonary and neurological exams are unremarkable.,10,10
"Her temperature is 98.2°F (36.8°C), blood pressure is 100/70 mmHg, pulse is 75/min, and respirations are 12/min.",7,7,2.8111350197342246,"Her temperature is 98.2°F (36.8°C), blood pressure is 100/70 mmHg, pulse is 75/min, and respirations are 12/min.",298,MedBullets df_op4 Q299,D,"Her temperature is 98.2°F (36.8°C), blood pressure is 100/70 mmHg, pulse is 75/min, and respirations are 12/min.",7,7
Physical exam reveals a nontender abdomen.,8,2,29.532647174915024,Physical exam reveals a nontender abdomen.,298,MedBullets df_op4 Q299,D,"She states that when these symptoms occur, she gets into frequent arguments at work, is unable to concentrate, and sleeps longer than usual.",2,2
Pelvic exam reveals a closed cervix with no cervical motion or adnexal tenderness.,9,4,15.766178734498864,Pelvic exam reveals a closed cervix with no cervical motion or adnexal tenderness.,298,MedBullets df_op4 Q299,D,She notes that these symptoms are causing distress in her interpersonal relationships as well.,4,4
Her cardiopulmonary and neurological exams are unremarkable.,10,8,0.0,Her cardiopulmonary and neurological exams are unremarkable.,298,MedBullets df_op4 Q299,D,Physical exam reveals a nontender abdomen.,8,8
