Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 4-week-old boy presents with his parents to the pediatrician for a well-child visit.,0,4,45.87969268838885,A 4-week-old boy presents with his parents to the pediatrician for a well-child visit.,131,MedBullets df_op4 Q132,A,The vomitus looks like breast milk.,4,4
His mother reports he was eating well until 1 week ago when he began vomiting after breastfeeding.,1,2,54.08178890134996,His mother reports he was eating well until 1 week ago when he began vomiting after breastfeeding.,131,MedBullets df_op4 Q132,A,"His mother has tried increasing the frequency of feeds and decreasing the amount of each feed, but the vomiting seems to be getting worse.",2,2
"His mother has tried increasing the frequency of feeds and decreasing the amount of each feed, but the vomiting seems to be getting worse.",2,3,47.12295389175415,"His mother has tried increasing the frequency of feeds and decreasing the amount of each feed, but the vomiting seems to be getting worse.",131,MedBullets df_op4 Q132,A,The patient now vomits after every feed.,3,3
The patient now vomits after every feed.,3,6,19.560730587788424,The patient now vomits after every feed.,131,MedBullets df_op4 Q132,A,"Two weeks ago, the patient was in the 75th percentile for weight and 70th for height.",6,6
The vomitus looks like breast milk.,4,8,14.692616661494052,The vomitus looks like breast milk.,131,MedBullets df_op4 Q132,A,"His temperature is 98.2°F (36.8°C), blood pressure is 58/37 mmHg, pulse is 144/min, and respirations are 34/min.",8,8
The patient’s mother is exclusively breastfeeding and would prefer not to switch to formula but worries that the patient is not getting the nutrition he needs.,5,0,69.04281036149465,The patient’s mother is exclusively breastfeeding and would prefer not to switch to formula but worries that the patient is not getting the nutrition he needs.,131,MedBullets df_op4 Q132,A,A 4-week-old boy presents with his parents to the pediatrician for a well-child visit.,0,0
"Two weeks ago, the patient was in the 75th percentile for weight and 70th for height.",6,5,27.96468667488687,"Two weeks ago, the patient was in the 75th percentile for weight and 70th for height.",131,MedBullets df_op4 Q132,A,The patient’s mother is exclusively breastfeeding and would prefer not to switch to formula but worries that the patient is not getting the nutrition he needs.,5,5
He is now in the 60th percentile for weight and 68th percentile for height.,7,10,0.0,He is now in the 60th percentile for weight and 68th percentile for height.,131,MedBullets df_op4 Q132,A,His abdomen is soft and non-distended.,10,10
"His temperature is 98.2°F (36.8°C), blood pressure is 58/37 mmHg, pulse is 144/min, and respirations are 34/min.",8,1,67.39712930397322,"His temperature is 98.2°F (36.8°C), blood pressure is 58/37 mmHg, pulse is 144/min, and respirations are 34/min.",131,MedBullets df_op4 Q132,A,His mother reports he was eating well until 1 week ago when he began vomiting after breastfeeding.,1,1
"On physical exam, the patient has dry mucous membranes.",9,9,11.205974621467114,"On physical exam, the patient has dry mucous membranes.",131,MedBullets df_op4 Q132,A,"On physical exam, the patient has dry mucous membranes.",9,9
His abdomen is soft and non-distended.,10,7,17.011929659360582,His abdomen is soft and non-distended.,131,MedBullets df_op4 Q132,A,He is now in the 60th percentile for weight and 68th percentile for height.,7,7
