Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 25-year-old man presents to his primary care provider for a routine appointment.,0,9,9.09305879295676,A 25-year-old man presents to his primary care provider for a routine appointment.,81,MedBullets df_op4 Q82,A,He has palpable cervical lymphadenopathy.,9,9
He feels well and has no complaints.,1,12,0.0,He feels well and has no complaints.,81,MedBullets df_op4 Q82,A,A physical exam of the perioral region can be seen in Figure A.,12,12
His medical and surgical history is significant for the reconstruction of a torn anterior cruciate ligament in his right knee.,2,0,67.89546301960945,His medical and surgical history is significant for the reconstruction of a torn anterior cruciate ligament in his right knee.,81,MedBullets df_op4 Q82,A,A 25-year-old man presents to his primary care provider for a routine appointment.,0,0
His family history is significant for a mother with “thyroid problems” and a father with coronary artery disease.,3,1,37.83192527681532,His family history is significant for a mother with “thyroid problems” and a father with coronary artery disease.,81,MedBullets df_op4 Q82,A,He feels well and has no complaints.,1,1
The patient is an information technology specialist at a local company.,4,7,17.784624533797246,The patient is an information technology specialist at a local company.,81,MedBullets df_op4 Q82,A,"On physical exam, the patient is tall and slender with a BMI of 21 kg/m2.",7,7
He is sexually active with men.,5,11,0.0,He is sexually active with men.,81,MedBullets df_op4 Q82,A,His abdomen is soft and non-tender without hepatosplenomegaly.,11,11
"His temperature is 98.6°F (37.0°C), blood pressure is 124/82 mmHg, pulse is 71/min, and respirations are 12/min.",6,4,29.595054354629035,"His temperature is 98.6°F (37.0°C), blood pressure is 124/82 mmHg, pulse is 71/min, and respirations are 12/min.",81,MedBullets df_op4 Q82,A,The patient is an information technology specialist at a local company.,4,4
"On physical exam, the patient is tall and slender with a BMI of 21 kg/m2.",7,10,0.0,"On physical exam, the patient is tall and slender with a BMI of 21 kg/m2.",81,MedBullets df_op4 Q82,A,"On cardiac exam, he has a normal S1/S2 with no murmurs, rubs, or gallops, and his lungs are clear bilaterally.",10,10
A single nodule can be palpated on the patient’s thyroid.,8,3,34.09651380585554,A single nodule can be palpated on the patient’s thyroid.,81,MedBullets df_op4 Q82,A,His family history is significant for a mother with “thyroid problems” and a father with coronary artery disease.,3,3
He has palpable cervical lymphadenopathy.,9,5,26.45328486383836,He has palpable cervical lymphadenopathy.,81,MedBullets df_op4 Q82,A,He is sexually active with men.,5,5
"On cardiac exam, he has a normal S1/S2 with no murmurs, rubs, or gallops, and his lungs are clear bilaterally.",10,8,10.180950070393544,"On cardiac exam, he has a normal S1/S2 with no murmurs, rubs, or gallops, and his lungs are clear bilaterally.",81,MedBullets df_op4 Q82,A,A single nodule can be palpated on the patient’s thyroid.,8,8
His abdomen is soft and non-tender without hepatosplenomegaly.,11,2,34.837396948166784,His abdomen is soft and non-tender without hepatosplenomegaly.,81,MedBullets df_op4 Q82,A,His medical and surgical history is significant for the reconstruction of a torn anterior cruciate ligament in his right knee.,2,2
A physical exam of the perioral region can be seen in Figure A.,12,6,19.333423805972,A physical exam of the perioral region can be seen in Figure A.,81,MedBullets df_op4 Q82,A,"His temperature is 98.6°F (37.0°C), blood pressure is 124/82 mmHg, pulse is 71/min, and respirations are 12/min.",6,6
