Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 55-year-old man with a history of polysubstance abuse is found down in his home acutely obtunded.,0,0,86.82365260089946,A 55-year-old man with a history of polysubstance abuse is found down in his home acutely obtunded.,302,MedBullets df_op4 Q303,C,A 55-year-old man with a history of polysubstance abuse is found down in his home acutely obtunded.,0,0
Emergency medical services administered naloxone which immediately woke the patient up and improved his oxygen saturation from 40% to 90%.,1,2,68.46591181738408,Emergency medical services administered naloxone which immediately woke the patient up and improved his oxygen saturation from 40% to 90%.,302,MedBullets df_op4 Q303,C,"However, they noted subsequently that the patient demonstrated increased work of breathing and had crackles and wheezing on pulmonary exam.",2,2
"However, they noted subsequently that the patient demonstrated increased work of breathing and had crackles and wheezing on pulmonary exam.",2,6,36.25366838276386,"However, they noted subsequently that the patient demonstrated increased work of breathing and had crackles and wheezing on pulmonary exam.",302,MedBullets df_op4 Q303,C,The patient has a 40 pack-year smoking history.,6,6
The patient arrives alert and oriented claiming he feels short of breath.,3,4,40.52399807928471,The patient arrives alert and oriented claiming he feels short of breath.,302,MedBullets df_op4 Q303,C,He denies any chest pain or other symptoms aside from shortness of breath.,4,4
He denies any chest pain or other symptoms aside from shortness of breath.,4,8,5.992877510922914,He denies any chest pain or other symptoms aside from shortness of breath.,302,MedBullets df_op4 Q303,C,"Physical exam reveals increased work of breathing, pulmonary crackles, and wheezing.",8,8
He has a history of cocaine-induced cardiomyopathy and myocardial infarction from cocaine use 2 years ago.,5,3,48.66076227625296,He has a history of cocaine-induced cardiomyopathy and myocardial infarction from cocaine use 2 years ago.,302,MedBullets df_op4 Q303,C,The patient arrives alert and oriented claiming he feels short of breath.,3,3
The patient has a 40 pack-year smoking history.,6,9,0.0,The patient has a 40 pack-year smoking history.,302,MedBullets df_op4 Q303,C,A chest radiograph is performed as seen in Figure A.,9,9
"His temperature is 96.0°F (35.6°C), blood pressure is 120/68 mmHg, pulse is 102/min, respirations are 26/min, and oxygen saturation is 88% on room air.",7,1,72.12288882343603,"His temperature is 96.0°F (35.6°C), blood pressure is 120/68 mmHg, pulse is 102/min, respirations are 26/min, and oxygen saturation is 88% on room air.",302,MedBullets df_op4 Q303,C,Emergency medical services administered naloxone which immediately woke the patient up and improved his oxygen saturation from 40% to 90%.,1,1
"Physical exam reveals increased work of breathing, pulmonary crackles, and wheezing.",8,5,36.27185439819694,"Physical exam reveals increased work of breathing, pulmonary crackles, and wheezing.",302,MedBullets df_op4 Q303,C,He has a history of cocaine-induced cardiomyopathy and myocardial infarction from cocaine use 2 years ago.,5,5
A chest radiograph is performed as seen in Figure A.,9,7,22.27765246466172,A chest radiograph is performed as seen in Figure A.,302,MedBullets df_op4 Q303,C,"His temperature is 96.0°F (35.6°C), blood pressure is 120/68 mmHg, pulse is 102/min, respirations are 26/min, and oxygen saturation is 88% on room air.",7,7
