Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A newborn boy is evaluated in the hospital nursery 2 hours after birth.,0,13.647853122462127,A newborn boy is evaluated in the hospital nursery 2 hours after birth.,6,7,MedBullets df_op4 Q8,D,"The patient’s birth weight is 2.6 kg (5 lb 11 oz), which is at the 5th percentile.",6,6
The patient was born at 39 weeks of gestation to a 30-year-old primigravid via vaginal delivery.,1,51.23229697648801,The patient was born at 39 weeks of gestation to a 30-year-old primigravid via vaginal delivery.,2,7,MedBullets df_op4 Q8,D,The patient’s mother received routine prenatal care and the pregnancy was uncomplicated.,2,2
The patient’s mother received routine prenatal care and the pregnancy was uncomplicated.,2,25.21063761413097,The patient’s mother received routine prenatal care and the pregnancy was uncomplicated.,4,7,MedBullets df_op4 Q8,D,The patient’s mother denies any family history of genetic diseases.,4,4
The patient’s anatomy ultrasound at 20 weeks of gestation was unremarkable.,3,35.52529029863366,The patient’s anatomy ultrasound at 20 weeks of gestation was unremarkable.,3,7,MedBullets df_op4 Q8,D,The patient’s anatomy ultrasound at 20 weeks of gestation was unremarkable.,3,3
The patient’s mother denies any family history of genetic diseases.,4,12.70175379162961,The patient’s mother denies any family history of genetic diseases.,7,7,MedBullets df_op4 Q8,D,"His height and head circumference are in the 15th and 3rd percentile, respectively.",7,7
The patient’s APGAR scores were notable for poor muscle tone at both 1 and 5 minutes of life.,5,76.06662154903825,The patient’s APGAR scores were notable for poor muscle tone at both 1 and 5 minutes of life.,1,7,MedBullets df_op4 Q8,D,The patient was born at 39 weeks of gestation to a 30-year-old primigravid via vaginal delivery.,1,1
"The patient’s birth weight is 2.6 kg (5 lb 11 oz), which is at the 5th percentile.",6,14.482307048736532,"The patient’s birth weight is 2.6 kg (5 lb 11 oz), which is at the 5th percentile.",5,7,MedBullets df_op4 Q8,D,The patient’s APGAR scores were notable for poor muscle tone at both 1 and 5 minutes of life.,5,5
"His height and head circumference are in the 15th and 3rd percentile, respectively.",7,0.0,"His height and head circumference are in the 15th and 3rd percentile, respectively.",10,7,MedBullets df_op4 Q8,D,He has good respiratory effort with a high-pitched cry.,10,10
"His temperature is 97.1°F (36.2°C), blood pressure is 57/42 mmHg, pulse is 140/min, and respirations are 38/min.",8,0.0,"His temperature is 97.1°F (36.2°C), blood pressure is 57/42 mmHg, pulse is 140/min, and respirations are 38/min.",9,7,MedBullets df_op4 Q8,D,"On physical exam, the patient has a wide nasal bridge, down slanting palpebral fissures, and widely spaced eyes.",9,9
"On physical exam, the patient has a wide nasal bridge, down slanting palpebral fissures, and widely spaced eyes.",9,93.15497904607898,"On physical exam, the patient has a wide nasal bridge, down slanting palpebral fissures, and widely spaced eyes.",0,7,MedBullets df_op4 Q8,D,A newborn boy is evaluated in the hospital nursery 2 hours after birth.,0,0
He has good respiratory effort with a high-pitched cry.,10,-0.0,He has good respiratory effort with a high-pitched cry.,8,7,MedBullets df_op4 Q8,D,"His temperature is 97.1°F (36.2°C), blood pressure is 57/42 mmHg, pulse is 140/min, and respirations are 38/min.",8,8
