Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 57-year-old man presents to the emergency department for shortness of breath.,0,1.580842579939649,A 57-year-old man presents to the emergency department for shortness of breath.,4,10,MedBullets df_op4 Q11,,"His temperature is 99.5°F (37.5°C), blood pressure is 130/87 mmHg, pulse is 120/min, respirations are 15/min, and oxygen saturation is 93% on room air.",4,4
He was riding the train home from a business conference when his symptoms began.,1,-0.0,He was riding the train home from a business conference when his symptoms began.,10,10,MedBullets df_op4 Q11,,"The patient's right lower extremity appears mildly inflamed, and palpation of the calf elicits pain.",10,10
"The patient has a medical history of obesity, diabetes, diabetic nephropathy, hypertension, and a 40-pack-year smoking history.",2,11.805843353271484,"The patient has a medical history of obesity, diabetes, diabetic nephropathy, hypertension, and a 40-pack-year smoking history.",2,10,MedBullets df_op4 Q11,,"The patient has a medical history of obesity, diabetes, diabetic nephropathy, hypertension, and a 40-pack-year smoking history.",2,2
"His current medications include atorvastatin, lisinopril, insulin, metformin, and nicotine gum.",3,0.4314772033257689,"His current medications include atorvastatin, lisinopril, insulin, metformin, and nicotine gum.",5,10,MedBullets df_op4 Q11,,An ECG is ordered as seen in Figure A.,5,5
"His temperature is 99.5°F (37.5°C), blood pressure is 130/87 mmHg, pulse is 120/min, respirations are 15/min, and oxygen saturation is 93% on room air.",4,0.0,"His temperature is 99.5°F (37.5°C), blood pressure is 130/87 mmHg, pulse is 120/min, respirations are 15/min, and oxygen saturation is 93% on room air.",7,10,MedBullets df_op4 Q11,,"Laboratory values are ordered as seen below: Serum: Na+: 137 mEq/L Cl-: 105 mEq/L K+: 4.1 mEq/L HCO3-: 24 mEq/L BUN: 22 mg/dL Glucose: 129 mg/dL Creatinine: 1.2 mg/dL Ca2+: 10.1 mg/dL AST: 11 U/L ALT: 12 U/L On physical exam, the patient appears to be in distress.",7,7
An ECG is ordered as seen in Figure A.,5,0.0,An ECG is ordered as seen in Figure A.,8,10,MedBullets df_op4 Q11,,His cardiac exam is notable for tachycardia.,8,8
A chest radiograph is ordered as seen in Figure B.,6,-0.0,A chest radiograph is ordered as seen in Figure B.,9,10,MedBullets df_op4 Q11,,Pulmonary exam reveals bilateral air movement without any wheezes or crackles.,9,9
"Laboratory values are ordered as seen below: Serum: Na+: 137 mEq/L Cl-: 105 mEq/L K+: 4.1 mEq/L HCO3-: 24 mEq/L BUN: 22 mg/dL Glucose: 129 mg/dL Creatinine: 1.2 mg/dL Ca2+: 10.1 mg/dL AST: 11 U/L ALT: 12 U/L On physical exam, the patient appears to be in distress.",7,54.11051790072545,"Laboratory values are ordered as seen below: Serum: Na+: 137 mEq/L Cl-: 105 mEq/L K+: 4.1 mEq/L HCO3-: 24 mEq/L BUN: 22 mg/dL Glucose: 129 mg/dL Creatinine: 1.2 mg/dL Ca2+: 10.1 mg/dL AST: 11 U/L ALT: 12 U/L On physical exam, the patient appears to be in distress.",0,10,MedBullets df_op4 Q11,,A 57-year-old man presents to the emergency department for shortness of breath.,0,0
His cardiac exam is notable for tachycardia.,8,0.0,His cardiac exam is notable for tachycardia.,6,10,MedBullets df_op4 Q11,,A chest radiograph is ordered as seen in Figure B.,6,6
Pulmonary exam reveals bilateral air movement without any wheezes or crackles.,9,4.521021517512479,Pulmonary exam reveals bilateral air movement without any wheezes or crackles.,3,10,MedBullets df_op4 Q11,,"His current medications include atorvastatin, lisinopril, insulin, metformin, and nicotine gum.",3,3
"The patient's right lower extremity appears mildly inflamed, and palpation of the calf elicits pain.",10,15.582539307944977,"The patient's right lower extremity appears mildly inflamed, and palpation of the calf elicits pain.",1,10,MedBullets df_op4 Q11,,He was riding the train home from a business conference when his symptoms began.,1,1
