Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 51-year-old man presents for his annual wellness visit with his primary care physician.,0,6.038777144376747,A 51-year-old man presents for his annual wellness visit with his primary care physician.,8,14,MedBullets df_op4 Q15,A,Cranial nerves II-XII are intact.,8,8
His wife has noticed a tremor while he is working on his car and knows that his father died of Parkinson disease.,1,59.555093261019415,His wife has noticed a tremor while he is working on his car and knows that his father died of Parkinson disease.,2,14,MedBullets df_op4 Q15,A,"He says that the tremor is nothing to worry about and only occurs during a few activities such as pouring drinks, pointing the remote at the television, or fixing his car.",2,2
"He says that the tremor is nothing to worry about and only occurs during a few activities such as pouring drinks, pointing the remote at the television, or fixing his car.",2,79.07257533073425,"He says that the tremor is nothing to worry about and only occurs during a few activities such as pouring drinks, pointing the remote at the television, or fixing his car.",0,14,MedBullets df_op4 Q15,A,A 51-year-old man presents for his annual wellness visit with his primary care physician.,0,0
The patient states his wife is just overreacting.,3,22.42861769458708,The patient states his wife is just overreacting.,6,14,MedBullets df_op4 Q15,A,"On physical exam, the tremor is replicated during finger to nose testing.",6,6
"His medical problems include hypertension, diabetes, and hyperlipidemia for which he takes lisinopril, metformin, and atorvastatin.",4,42.4085112446779,"His medical problems include hypertension, diabetes, and hyperlipidemia for which he takes lisinopril, metformin, and atorvastatin.",4,14,MedBullets df_op4 Q15,A,"His medical problems include hypertension, diabetes, and hyperlipidemia for which he takes lisinopril, metformin, and atorvastatin.",4,4
He has 3-5 drinks of scotch per night before working on his car.,5,60.64700787221039,He has 3-5 drinks of scotch per night before working on his car.,1,14,MedBullets df_op4 Q15,A,His wife has noticed a tremor while he is working on his car and knows that his father died of Parkinson disease.,1,1
"On physical exam, the tremor is replicated during finger to nose testing.",6,49.7596113414996,"On physical exam, the tremor is replicated during finger to nose testing.",3,14,MedBullets df_op4 Q15,A,The patient states his wife is just overreacting.,3,3
Romberg sign is negative.,7,7.514802248038462,Romberg sign is negative.,7,14,MedBullets df_op4 Q15,A,Romberg sign is negative.,7,7
Cranial nerves II-XII are intact.,8,23.337973099256388,Cranial nerves II-XII are intact.,5,14,MedBullets df_op4 Q15,A,He has 3-5 drinks of scotch per night before working on his car.,5,5
The rest of the exam is benign.,9,-0.0,The rest of the exam is benign.,9,14,MedBullets df_op4 Q15,A,The rest of the exam is benign.,9,9
