Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 23-year-old woman presents to the emergency department complaining of a worsening headache.,0,9,0.0,A 23-year-old woman presents to the emergency department complaining of a worsening headache.,169,MedBullets df_op4 Q170,,A CD4+ count is 57 cells/µL blood.,9,9
The headache started 1 month ago.,1,8,0.0,The headache started 1 month ago.,169,MedBullets df_op4 Q170,,A CT scan shows ventricular enlargement.,8,8
It is constant and “all over” but gets worse when she is lying down or in the setting of bright lights.,2,1,55.55070495605469,It is constant and “all over” but gets worse when she is lying down or in the setting of bright lights.,169,MedBullets df_op4 Q170,,The headache started 1 month ago.,1,1
"A review of systems is significant for a low-grade fever, night sweats, cough, malaise, poor appetite, and unintentional weight loss of 12 pounds in the last 2 months.",3,0,84.0242890997278,"A review of systems is significant for a low-grade fever, night sweats, cough, malaise, poor appetite, and unintentional weight loss of 12 pounds in the last 2 months.",169,MedBullets df_op4 Q170,,A 23-year-old woman presents to the emergency department complaining of a worsening headache.,0,0
The patient is sexually active with multiple male partners and reports inconsistent condom use.,4,3,21.33853626564244,The patient is sexually active with multiple male partners and reports inconsistent condom use.,169,MedBullets df_op4 Q170,,"A review of systems is significant for a low-grade fever, night sweats, cough, malaise, poor appetite, and unintentional weight loss of 12 pounds in the last 2 months.",3,3
She has a history of intravenous drug use and has not been to a doctor in the last 2 years.,5,4,3.5846888557461987,She has a history of intravenous drug use and has not been to a doctor in the last 2 years.,169,MedBullets df_op4 Q170,,The patient is sexually active with multiple male partners and reports inconsistent condom use.,4,4
"Her temperature is 100.4°F (38.0°C), blood pressure is 110/78 mmHg, pulse is 88/min, and respirations are 14/min with an oxygen saturation of 98% O2 on room air.",6,2,53.90062928692816,"Her temperature is 100.4°F (38.0°C), blood pressure is 110/78 mmHg, pulse is 88/min, and respirations are 14/min with an oxygen saturation of 98% O2 on room air.",169,MedBullets df_op4 Q170,,It is constant and “all over” but gets worse when she is lying down or in the setting of bright lights.,2,2
"On physical exam, pain is elicited upon passive flexion of the patient’s neck.",7,7,-0.0,"On physical exam, pain is elicited upon passive flexion of the patient’s neck.",169,MedBullets df_op4 Q170,,"On physical exam, pain is elicited upon passive flexion of the patient’s neck.",7,7
A CT scan shows ventricular enlargement.,8,6,0.0,A CT scan shows ventricular enlargement.,169,MedBullets df_op4 Q170,,"Her temperature is 100.4°F (38.0°C), blood pressure is 110/78 mmHg, pulse is 88/min, and respirations are 14/min with an oxygen saturation of 98% O2 on room air.",6,6
A CD4+ count is 57 cells/µL blood.,9,5,0.0,A CD4+ count is 57 cells/µL blood.,169,MedBullets df_op4 Q170,,She has a history of intravenous drug use and has not been to a doctor in the last 2 years.,5,5
