Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 59-year-old woman comes to the clinic due to a 3-month history of “always feeling the urge to urinate” as well as vaginal pruritis.,0,0,72.25958443316546,A 59-year-old woman comes to the clinic due to a 3-month history of “always feeling the urge to urinate” as well as vaginal pruritis.,214,MedBullets df_op4 Q215,D,A 59-year-old woman comes to the clinic due to a 3-month history of “always feeling the urge to urinate” as well as vaginal pruritis.,0,0
She states that she has had involuntary loss of urine about 4 times each day over the past 3 months.,1,5,37.98565750993738,She states that she has had involuntary loss of urine about 4 times each day over the past 3 months.,214,MedBullets df_op4 Q215,D,The patient has not been sexually active with her husband due to pain with intercourse.,5,5
It is not associated with coughing or sneezing.,2,12,0.0,It is not associated with coughing or sneezing.,214,MedBullets df_op4 Q215,D,"Pelvic ultrasound reveals a small, retroverted uterus.",12,12
Menopause occurred at age 52.,3,8,16.170307565965267,Menopause occurred at age 52.,214,MedBullets df_op4 Q215,D,"On physical examination, the vulvar skin is pale and atrophic with reduced elasticity and multiple areas of petechiae.",8,8
She has a history of chlamydial infection in her 20's and has had 3 urinary tract infections over the past year.,4,3,48.925893620862304,She has a history of chlamydial infection in her 20's and has had 3 urinary tract infections over the past year.,214,MedBullets df_op4 Q215,D,Menopause occurred at age 52.,3,3
The patient has not been sexually active with her husband due to pain with intercourse.,5,6,29.40616570094319,The patient has not been sexually active with her husband due to pain with intercourse.,214,MedBullets df_op4 Q215,D,She has no other significant medical history and does not take any medications.,6,6
She has no other significant medical history and does not take any medications.,6,10,3.741267026889258,She has no other significant medical history and does not take any medications.,214,MedBullets df_op4 Q215,D,There is minimal clear vaginal discharge.,10,10
"Her temperature is 98.6°F (37.0°C), blood pressure is 115/70 mmHg, pulse is 70/min, and respirations are 12/min.",7,9,13.97078948302647,"Her temperature is 98.6°F (37.0°C), blood pressure is 115/70 mmHg, pulse is 70/min, and respirations are 12/min.",214,MedBullets df_op4 Q215,D,The vaginal mucosa also has a loss of rugae and several areas of friable irritation.,9,9
"On physical examination, the vulvar skin is pale and atrophic with reduced elasticity and multiple areas of petechiae.",8,1,68.3169499566592,"On physical examination, the vulvar skin is pale and atrophic with reduced elasticity and multiple areas of petechiae.",214,MedBullets df_op4 Q215,D,She states that she has had involuntary loss of urine about 4 times each day over the past 3 months.,1,1
The vaginal mucosa also has a loss of rugae and several areas of friable irritation.,9,2,53.265550664060505,The vaginal mucosa also has a loss of rugae and several areas of friable irritation.,214,MedBullets df_op4 Q215,D,It is not associated with coughing or sneezing.,2,2
There is minimal clear vaginal discharge.,10,11,0.8228032874878369,There is minimal clear vaginal discharge.,214,MedBullets df_op4 Q215,D,Urinalysis is normal and fecal occult blood test is negative.,11,11
Urinalysis is normal and fecal occult blood test is negative.,11,7,24.527450271784915,Urinalysis is normal and fecal occult blood test is negative.,214,MedBullets df_op4 Q215,D,"Her temperature is 98.6°F (37.0°C), blood pressure is 115/70 mmHg, pulse is 70/min, and respirations are 12/min.",7,7
"Pelvic ultrasound reveals a small, retroverted uterus.",12,4,46.05175901590516,"Pelvic ultrasound reveals a small, retroverted uterus.",214,MedBullets df_op4 Q215,D,She has a history of chlamydial infection in her 20's and has had 3 urinary tract infections over the past year.,4,4
