Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 44-year-old man presents to the emergency department with palpitations.,0,9,0.0,A 44-year-old man presents to the emergency department with palpitations.,270,MedBullets df_op4 Q271,A,"During the exam, the patient states that he feels lightheaded and appears occasionally somnolent.",9,9
He has a history of anxiety managed with fluoxetine and lorazepam.,1,0,57.02117142052299,He has a history of anxiety managed with fluoxetine and lorazepam.,270,MedBullets df_op4 Q271,A,A 44-year-old man presents to the emergency department with palpitations.,0,0
He also has hypertension but does not take any medications.,2,1,37.86380109190941,He also has hypertension but does not take any medications.,270,MedBullets df_op4 Q271,A,He has a history of anxiety managed with fluoxetine and lorazepam.,1,1
"Today, his symptoms have been persistent despite taking his medications.",3,4,19.47988162533456,"Today, his symptoms have been persistent despite taking his medications.",270,MedBullets df_op4 Q271,A,He says that he feels lightheaded and can’t walk.,4,4
He says that he feels lightheaded and can’t walk.,4,5,17.639757314145044,He says that he feels lightheaded and can’t walk.,270,MedBullets df_op4 Q271,A,"His temperature is 98.7°F (37.1°C), blood pressure is 120/72 mmHg, pulse is 183/min, respirations are 25/min, and oxygen saturation is 99% on room air.",5,5
"His temperature is 98.7°F (37.1°C), blood pressure is 120/72 mmHg, pulse is 183/min, respirations are 25/min, and oxygen saturation is 99% on room air.",5,2,33.182832598962364,"His temperature is 98.7°F (37.1°C), blood pressure is 120/72 mmHg, pulse is 183/min, respirations are 25/min, and oxygen saturation is 99% on room air.",270,MedBullets df_op4 Q271,A,He also has hypertension but does not take any medications.,2,2
Physical exam reveals a somnolent and uncomfortable man.,6,3,24.09811858357508,Physical exam reveals a somnolent and uncomfortable man.,270,MedBullets df_op4 Q271,A,"Today, his symptoms have been persistent despite taking his medications.",3,3
His pulse is rapid and regular.,7,8,0.0,His pulse is rapid and regular.,270,MedBullets df_op4 Q271,A,An ECG is performed as seen in Figure A.,8,8
An ECG is performed as seen in Figure A.,8,6,0.0,An ECG is performed as seen in Figure A.,270,MedBullets df_op4 Q271,A,Physical exam reveals a somnolent and uncomfortable man.,6,6
"During the exam, the patient states that he feels lightheaded and appears occasionally somnolent.",9,7,0.0,"During the exam, the patient states that he feels lightheaded and appears occasionally somnolent.",270,MedBullets df_op4 Q271,A,His pulse is rapid and regular.,7,7
