Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 7-year-old adopted boy presents to the emergency department after fainting.,0,1,55.467238044902096,A 7-year-old adopted boy presents to the emergency department after fainting.,250,MedBullets df_op4 Q251,A,He just switched from being home-schooled to public school and joined the basketball team.,1,1
He just switched from being home-schooled to public school and joined the basketball team.,1,2,33.938961535826515,He just switched from being home-schooled to public school and joined the basketball team.,250,MedBullets df_op4 Q251,A,He has fainted several times during basketball practices.,2,2
He has fainted several times during basketball practices.,2,4,27.878003548830748,He has fainted several times during basketball practices.,250,MedBullets df_op4 Q251,A,He is usually unconscious for less than a minute.,4,4
He did not sustain any injuries or have any prodromes prior to these episodes.,3,7,2.670580610989059,He did not sustain any injuries or have any prodromes prior to these episodes.,250,MedBullets df_op4 Q251,A,"His temperature is 97.6°F (36.4°C), blood pressure is 104/54 mmHg, pulse is 100/min, respirations are 19/min, and oxygen saturation is 98% on room air.",7,7
He is usually unconscious for less than a minute.,4,5,25.978857251045444,He is usually unconscious for less than a minute.,250,MedBullets df_op4 Q251,A,He is otherwise healthy and has met all developmental milestones.,5,5
He is otherwise healthy and has met all developmental milestones.,5,3,28.3596470166315,He is otherwise healthy and has met all developmental milestones.,250,MedBullets df_op4 Q251,A,He did not sustain any injuries or have any prodromes prior to these episodes.,3,3
He does not currently take any medications.,6,6,4.869504884735527,He does not currently take any medications.,250,MedBullets df_op4 Q251,A,He does not currently take any medications.,6,6
"His temperature is 97.6°F (36.4°C), blood pressure is 104/54 mmHg, pulse is 100/min, respirations are 19/min, and oxygen saturation is 98% on room air.",7,0,120.31853518434856,"His temperature is 97.6°F (36.4°C), blood pressure is 104/54 mmHg, pulse is 100/min, respirations are 19/min, and oxygen saturation is 98% on room air.",250,MedBullets df_op4 Q251,A,A 7-year-old adopted boy presents to the emergency department after fainting.,0,0
Physical exam reveals a well-appearing and playful boy.,8,8,-0.0,Physical exam reveals a well-appearing and playful boy.,250,MedBullets df_op4 Q251,A,Physical exam reveals a well-appearing and playful boy.,8,8
An ECG is performed as seen in Figure A.,9,10,-0.0,An ECG is performed as seen in Figure A.,250,MedBullets df_op4 Q251,A,An echocardiogram is ordered and pending.,10,10
An echocardiogram is ordered and pending.,10,9,-0.0,An echocardiogram is ordered and pending.,250,MedBullets df_op4 Q251,A,An ECG is performed as seen in Figure A.,9,9
