Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
An 84-year-old man presents to the physician with numbness and tingling in the right hand for the last 6 months.,0,41.66218819160775,An 84-year-old man presents to the physician with numbness and tingling in the right hand for the last 6 months.,5,12,MedBullets df_op4 Q13,A,Surgical history consists of posterior lumbar fusion and elective left total hip arthroplasty.,5,5
He reports these symptoms started intermittently in the middle finger after returning from a golfing trip but has progressed to being nearly constant.,1,97.88513326668414,He reports these symptoms started intermittently in the middle finger after returning from a golfing trip but has progressed to being nearly constant.,0,12,MedBullets df_op4 Q13,A,An 84-year-old man presents to the physician with numbness and tingling in the right hand for the last 6 months.,0,0
"The thenar eminence, thumb, and other digits are spared.",2,66.23059293627739,"The thenar eminence, thumb, and other digits are spared.",3,12,MedBullets df_op4 Q13,A,He reports no other symptoms.,3,3
He reports no other symptoms.,3,0.0,He reports no other symptoms.,12,12,MedBullets df_op4 Q13,A,"His neck pain, which radiates down his right arm, is reproduced with axial loading during neck extension with simultaneous rightward rotation and lateral bending.",12,12
"His medical problems include hypertension, hyperlipidemia, hypothyroidism, and chronic neck pain for which he takes amlodipine, hydrochlorothiazide, atorvastatin, levothyroxine, and duloxetine.",4,71.22442958573178,"His medical problems include hypertension, hyperlipidemia, hypothyroidism, and chronic neck pain for which he takes amlodipine, hydrochlorothiazide, atorvastatin, levothyroxine, and duloxetine.",2,12,MedBullets df_op4 Q13,A,"The thenar eminence, thumb, and other digits are spared.",2,2
Surgical history consists of posterior lumbar fusion and elective left total hip arthroplasty.,5,-0.0,Surgical history consists of posterior lumbar fusion and elective left total hip arthroplasty.,11,12,MedBullets df_op4 Q13,A,There is no spasticity.,11,11
He has a 90-pack-year smoking history and quit 10 years ago.,6,26.817269993689543,He has a 90-pack-year smoking history and quit 10 years ago.,7,12,MedBullets df_op4 Q13,A,"The patient’s temperature is 99.6°F (37.6°C), blood pressure is 134/80 mmHg, pulse is 90/min, and respirations are 16/min.",7,7
"The patient’s temperature is 99.6°F (37.6°C), blood pressure is 134/80 mmHg, pulse is 90/min, and respirations are 16/min.",7,0.0,"The patient’s temperature is 99.6°F (37.6°C), blood pressure is 134/80 mmHg, pulse is 90/min, and respirations are 16/min.",10,12,MedBullets df_op4 Q13,A,The triceps reflex is 1+ on the right compared to 2+ on the left.,10,10
Physical exam reveals 4/5 strength in elbow extension and wrist flexion on the right.,8,49.46371314909597,Physical exam reveals 4/5 strength in elbow extension and wrist flexion on the right.,4,12,MedBullets df_op4 Q13,A,"His medical problems include hypertension, hyperlipidemia, hypothyroidism, and chronic neck pain for which he takes amlodipine, hydrochlorothiazide, atorvastatin, levothyroxine, and duloxetine.",4,4
He has 5/5 strength in the remainder of the motor exam on the right upper extremity and on the left upper extremity.,9,21.831035911208325,He has 5/5 strength in the remainder of the motor exam on the right upper extremity and on the left upper extremity.,8,12,MedBullets df_op4 Q13,A,Physical exam reveals 4/5 strength in elbow extension and wrist flexion on the right.,8,8
The triceps reflex is 1+ on the right compared to 2+ on the left.,10,39.38168451006308,The triceps reflex is 1+ on the right compared to 2+ on the left.,6,12,MedBullets df_op4 Q13,A,He has a 90-pack-year smoking history and quit 10 years ago.,6,6
There is no spasticity.,11,0.9146777742699476,There is no spasticity.,9,12,MedBullets df_op4 Q13,A,He has 5/5 strength in the remainder of the motor exam on the right upper extremity and on the left upper extremity.,9,9
"His neck pain, which radiates down his right arm, is reproduced with axial loading during neck extension with simultaneous rightward rotation and lateral bending.",12,75.99493285953304,"His neck pain, which radiates down his right arm, is reproduced with axial loading during neck extension with simultaneous rightward rotation and lateral bending.",1,12,MedBullets df_op4 Q13,A,He reports these symptoms started intermittently in the middle finger after returning from a golfing trip but has progressed to being nearly constant.,1,1
