Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 55-year-old male bodybuilder presents to the emergency department with weakness of his right arm.,0,41.28212516152339,A 55-year-old male bodybuilder presents to the emergency department with weakness of his right arm.,4,8,MedBullets df_op4 Q9,A,The patient uses anabolic steroids.,4,4
"The patient states he has experienced these symptoms for a few weeks; however, today his hand felt so weak he dropped his cup of tea.",1,26.39620292841515,"The patient states he has experienced these symptoms for a few weeks; however, today his hand felt so weak he dropped his cup of tea.",5,8,MedBullets df_op4 Q9,A,He has lost 17 pounds since he last came to the emergency department 1 month ago.,5,5
The patient has a medical history of diabetes.,2,7.337918430566788,The patient has a medical history of diabetes.,6,8,MedBullets df_op4 Q9,A,"His temperature is 99.5°F (37.5°C), blood pressure is 177/108 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.",6,6
He drinks 2-7 alcoholic drinks per day and has smoked 2 packs of cigarettes per day since he was 25.,3,61.60105587082219,He drinks 2-7 alcoholic drinks per day and has smoked 2 packs of cigarettes per day since he was 25.,0,8,MedBullets df_op4 Q9,A,A 55-year-old male bodybuilder presents to the emergency department with weakness of his right arm.,0,0
The patient uses anabolic steroids.,4,0.991592255209402,The patient uses anabolic steroids.,8,8,MedBullets df_op4 Q9,A,The patient states that he is experiencing a dull aching and burning pain in his right arm during the exam.,8,8
He has lost 17 pounds since he last came to the emergency department 1 month ago.,5,3.8338391554143,He has lost 17 pounds since he last came to the emergency department 1 month ago.,7,8,MedBullets df_op4 Q9,A,Physical exam reveals decreased sensation in the right arm and 2/5 strength in the right arm and 5/5 strength in in the left arm.,7,7
"His temperature is 99.5°F (37.5°C), blood pressure is 177/108 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.",6,61.57260392790534,"His temperature is 99.5°F (37.5°C), blood pressure is 177/108 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.",1,8,MedBullets df_op4 Q9,A,"The patient states he has experienced these symptoms for a few weeks; however, today his hand felt so weak he dropped his cup of tea.",1,1
Physical exam reveals decreased sensation in the right arm and 2/5 strength in the right arm and 5/5 strength in in the left arm.,7,47.99339555767924,Physical exam reveals decreased sensation in the right arm and 2/5 strength in the right arm and 5/5 strength in in the left arm.,3,8,MedBullets df_op4 Q9,A,He drinks 2-7 alcoholic drinks per day and has smoked 2 packs of cigarettes per day since he was 25.,3,3
The patient states that he is experiencing a dull aching and burning pain in his right arm during the exam.,8,49.09095799442582,The patient states that he is experiencing a dull aching and burning pain in his right arm during the exam.,2,8,MedBullets df_op4 Q9,A,The patient has a medical history of diabetes.,2,2
Symptoms are not changed with changes in head and neck position.,9,0.0,Symptoms are not changed with changes in head and neck position.,9,8,MedBullets df_op4 Q9,A,Symptoms are not changed with changes in head and neck position.,9,9
