Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 55-year-old woman presents to the primary care clinic for her annual visit.,0,9,0.0,A 55-year-old woman presents to the primary care clinic for her annual visit.,234,MedBullets df_op4 Q235,B,Serum thyroid-stimulating hormone (TSH) concentration is 7.2 µU/mL.,9,9
She has no complaints and is asymptomatic.,1,8,0.0,She has no complaints and is asymptomatic.,234,MedBullets df_op4 Q235,B,An ultrasound is obtained and shows a 1.2 cm hypoechoic mass with microcalcifications.,8,8
"She has a history of hypertension, hyperlipidemia, and diabetes.",2,6,3.345039304345846,"She has a history of hypertension, hyperlipidemia, and diabetes.",234,MedBullets df_op4 Q235,B,"Her temperature is 98.2°F (36.8°C), blood pressure is 142/84 mmHg, pulse is 82/min, and respirations are 16/min.",6,6
"Her medications are lisinopril, amlodipine, atorvastatin, and metformin.",3,3,29.56674598610717,"Her medications are lisinopril, amlodipine, atorvastatin, and metformin.",234,MedBullets df_op4 Q235,B,"Her medications are lisinopril, amlodipine, atorvastatin, and metformin.",3,3
There is no family history of malignancy.,4,5,4.995345867257997,There is no family history of malignancy.,234,MedBullets df_op4 Q235,B,She is a non-smoker and drinks 3-4 standard drinks per week.,5,5
She is a non-smoker and drinks 3-4 standard drinks per week.,5,4,21.60330016172824,She is a non-smoker and drinks 3-4 standard drinks per week.,234,MedBullets df_op4 Q235,B,There is no family history of malignancy.,4,4
"Her temperature is 98.2°F (36.8°C), blood pressure is 142/84 mmHg, pulse is 82/min, and respirations are 16/min.",6,7,0.0,"Her temperature is 98.2°F (36.8°C), blood pressure is 142/84 mmHg, pulse is 82/min, and respirations are 16/min.",234,MedBullets df_op4 Q235,B,"On physical exam, a solid, immobile neck mass is palpated inferior to the cricoid cartilage to the left of midline.",7,7
"On physical exam, a solid, immobile neck mass is palpated inferior to the cricoid cartilage to the left of midline.",7,0,118.0898026808114,"On physical exam, a solid, immobile neck mass is palpated inferior to the cricoid cartilage to the left of midline.",234,MedBullets df_op4 Q235,B,A 55-year-old woman presents to the primary care clinic for her annual visit.,0,0
An ultrasound is obtained and shows a 1.2 cm hypoechoic mass with microcalcifications.,8,1,48.47373523783309,An ultrasound is obtained and shows a 1.2 cm hypoechoic mass with microcalcifications.,234,MedBullets df_op4 Q235,B,She has no complaints and is asymptomatic.,1,1
Serum thyroid-stimulating hormone (TSH) concentration is 7.2 µU/mL.,9,2,32.21530072236719,Serum thyroid-stimulating hormone (TSH) concentration is 7.2 µU/mL.,234,MedBullets df_op4 Q235,B,"She has a history of hypertension, hyperlipidemia, and diabetes.",2,2
