Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 28-year-old woman presents to her primary care provider with a headache.,0,9,1.2961461617300365,A 28-year-old woman presents to her primary care provider with a headache.,194,MedBullets df_op4 Q195,B,She works as a receptionist at a marketing company.,9,9
"Every few weeks she has an episode of a right-sided, throbbing headache.",1,4,36.15565069664181,"Every few weeks she has an episode of a right-sided, throbbing headache.",194,MedBullets df_op4 Q195,B,"The patient denies any weakness, numbness, or tingling during these episodes.",4,4
The episodes began several years ago and are accompanied by nausea and bright spots in her vision.,2,2,38.12413555383682,The episodes began several years ago and are accompanied by nausea and bright spots in her vision.,194,MedBullets df_op4 Q195,B,The episodes began several years ago and are accompanied by nausea and bright spots in her vision.,2,2
"The headache usually subsides if she lies still in a dark, quiet room for several hours.",3,3,37.35999404621598,"The headache usually subsides if she lies still in a dark, quiet room for several hours.",194,MedBullets df_op4 Q195,B,"The headache usually subsides if she lies still in a dark, quiet room for several hours.",3,3
"The patient denies any weakness, numbness, or tingling during these episodes.",4,6,25.14574560340244,"The patient denies any weakness, numbness, or tingling during these episodes.",194,MedBullets df_op4 Q195,B,"Her home medications include levothyroxine, oral contraceptive pills, and topical trans-retinoin.",6,6
"Her medical history is significant for acne, hypothyroidism, obesity, and endometriosis.",5,1,53.61378601359825,"Her medical history is significant for acne, hypothyroidism, obesity, and endometriosis.",194,MedBullets df_op4 Q195,B,"Every few weeks she has an episode of a right-sided, throbbing headache.",1,1
"Her home medications include levothyroxine, oral contraceptive pills, and topical trans-retinoin.",6,0,75.25308397380502,"Her home medications include levothyroxine, oral contraceptive pills, and topical trans-retinoin.",194,MedBullets df_op4 Q195,B,A 28-year-old woman presents to her primary care provider with a headache.,0,0
"Her temperature is 98.6°F (37°C), blood pressure is 125/81 mmHg, pulse is 64/min, and respirations are 11/min.",7,11,0.0,"Her temperature is 98.6°F (37°C), blood pressure is 125/81 mmHg, pulse is 64/min, and respirations are 11/min.",194,MedBullets df_op4 Q195,B,A CT of the head is performed and shows no acute abnormalities.,11,11
She has 2 glasses of wine with dinner several nights a week and has never smoked.,8,8,17.531260573640953,She has 2 glasses of wine with dinner several nights a week and has never smoked.,194,MedBullets df_op4 Q195,B,She has 2 glasses of wine with dinner several nights a week and has never smoked.,8,8
She works as a receptionist at a marketing company.,9,10,0.0,She works as a receptionist at a marketing company.,194,MedBullets df_op4 Q195,B,"On physical exam, the patient has no focal neurologic deficits.",10,10
"On physical exam, the patient has no focal neurologic deficits.",10,5,29.047621894153256,"On physical exam, the patient has no focal neurologic deficits.",194,MedBullets df_op4 Q195,B,"Her medical history is significant for acne, hypothyroidism, obesity, and endometriosis.",5,5
A CT of the head is performed and shows no acute abnormalities.,11,7,19.48790597069661,A CT of the head is performed and shows no acute abnormalities.,194,MedBullets df_op4 Q195,B,"Her temperature is 98.6°F (37°C), blood pressure is 125/81 mmHg, pulse is 64/min, and respirations are 11/min.",7,7
