Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 35-year-old man presents to his primary care physician with pain along the bottom of his foot.,0,5,19.53259471656048,A 35-year-old man presents to his primary care physician with pain along the bottom of his foot.,168,MedBullets df_op4 Q169,A,He is currently not taking any medications.,5,5
The patient is a long-time runner but states that the pain has been getting worse recently.,1,9,0.0,The patient is a long-time runner but states that the pain has been getting worse recently.,168,MedBullets df_op4 Q169,A,Strength is 5/5 and reflexes are 2+ in the lower extremities.,9,9
When running and at rest he has a burning and aching pain along the bottom of his foot that sometimes turns to numbness.,2,2,51.377776235342026,When running and at rest he has a burning and aching pain along the bottom of his foot that sometimes turns to numbness.,168,MedBullets df_op4 Q169,A,When running and at rest he has a burning and aching pain along the bottom of his foot that sometimes turns to numbness.,2,2
Taking time off from training does not improve his symptoms.,3,6,15.163444721723772,Taking time off from training does not improve his symptoms.,168,MedBullets df_op4 Q169,A,The patient lives with his wife and they both practice a vegan lifestyle.,6,6
"The patient has a medical history of surgical repair of his Achilles tendon, ACL, and medial meniscus.",4,4,38.23502625599582,"The patient has a medical history of surgical repair of his Achilles tendon, ACL, and medial meniscus.",168,MedBullets df_op4 Q169,A,"The patient has a medical history of surgical repair of his Achilles tendon, ACL, and medial meniscus.",4,4
He is currently not taking any medications.,5,7,8.770210804312036,He is currently not taking any medications.,168,MedBullets df_op4 Q169,A,"His temperature is 98.6°F (37°C), blood pressure is 114/72 mmHg, pulse is 81/min, and respirations are 12/min.",7,7
The patient lives with his wife and they both practice a vegan lifestyle.,6,8,-0.0,The patient lives with his wife and they both practice a vegan lifestyle.,168,MedBullets df_op4 Q169,A,"On physical exam, the patient states that he is currently not experiencing any pain in his foot but rather is experiencing numbness/tingling along the plantar surface of his foot.",8,8
"His temperature is 98.6°F (37°C), blood pressure is 114/72 mmHg, pulse is 81/min, and respirations are 12/min.",7,0,66.46808317336775,"His temperature is 98.6°F (37°C), blood pressure is 114/72 mmHg, pulse is 81/min, and respirations are 12/min.",168,MedBullets df_op4 Q169,A,A 35-year-old man presents to his primary care physician with pain along the bottom of his foot.,0,0
"On physical exam, the patient states that he is currently not experiencing any pain in his foot but rather is experiencing numbness/tingling along the plantar surface of his foot.",8,1,54.91478314418953,"On physical exam, the patient states that he is currently not experiencing any pain in his foot but rather is experiencing numbness/tingling along the plantar surface of his foot.",168,MedBullets df_op4 Q169,A,The patient is a long-time runner but states that the pain has been getting worse recently.,1,1
Strength is 5/5 and reflexes are 2+ in the lower extremities.,9,3,38.84938534936967,Strength is 5/5 and reflexes are 2+ in the lower extremities.,168,MedBullets df_op4 Q169,A,Taking time off from training does not improve his symptoms.,3,3
