Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 32-year-old man presents to the emergency department for evaluation of headache.,0,17.14698168693173,A 32-year-old man presents to the emergency department for evaluation of headache.,5,25,MedBullets df_op4 Q26,D,"His temperature is 100.4°F (38.0°C), blood pressure is 110/60 mmHg, pulse is 95/min, respirations are 17/min, and oxygen saturation is 98% on room air.",5,5
His symptoms started last night and have persisted.,1,17.72621698096851,His symptoms started last night and have persisted.,3,25,MedBullets df_op4 Q26,D,"He reports associated nausea, vomiting, fevers, and neck pain.",3,3
"He occasionally has migraine headaches, but he has not had a headache like this in the past.",2,14.457018584012983,"He occasionally has migraine headaches, but he has not had a headache like this in the past.",6,25,MedBullets df_op4 Q26,D,"On physical exam, he appears uncomfortable.",6,6
"He reports associated nausea, vomiting, fevers, and neck pain.",3,17.55851379974791,"He reports associated nausea, vomiting, fevers, and neck pain.",4,25,MedBullets df_op4 Q26,D,He has a medical history of asthma.,4,4
He has a medical history of asthma.,4,2.525787815415773,He has a medical history of asthma.,8,25,MedBullets df_op4 Q26,D,There is pain with passive neck flexion.,8,8
"His temperature is 100.4°F (38.0°C), blood pressure is 110/60 mmHg, pulse is 95/min, respirations are 17/min, and oxygen saturation is 98% on room air.",5,67.75860910904383,"His temperature is 100.4°F (38.0°C), blood pressure is 110/60 mmHg, pulse is 95/min, respirations are 17/min, and oxygen saturation is 98% on room air.",0,25,MedBullets df_op4 Q26,D,A 32-year-old man presents to the emergency department for evaluation of headache.,0,0
"On physical exam, he appears uncomfortable.",6,9.5960094486148,"On physical exam, he appears uncomfortable.",7,25,MedBullets df_op4 Q26,D,Neurologic exam reveals no focal deficits.,7,7
Neurologic exam reveals no focal deficits.,7,25.95268298210215,Neurologic exam reveals no focal deficits.,2,25,MedBullets df_op4 Q26,D,"He occasionally has migraine headaches, but he has not had a headache like this in the past.",2,2
There is pain with passive neck flexion.,8,33.92188555620963,There is pain with passive neck flexion.,1,25,MedBullets df_op4 Q26,D,His symptoms started last night and have persisted.,1,1
No edema or rashes are noted.,9,0.0,No edema or rashes are noted.,9,25,MedBullets df_op4 Q26,D,No edema or rashes are noted.,9,9
Lungs are clear to auscultation bilaterally.,10,-0.0,Lungs are clear to auscultation bilaterally.,11,25,MedBullets df_op4 Q26,D,Lumbar puncture is performed and CSF results are obtained as shown below.,11,11
Lumbar puncture is performed and CSF results are obtained as shown below.,11,0.0,Lumbar puncture is performed and CSF results are obtained as shown below.,10,25,MedBullets df_op4 Q26,D,Lungs are clear to auscultation bilaterally.,10,10
