Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 15-year-old boy is brought to his pediatrician for a follow-up visit.,0,8,4.33473993768007,A 15-year-old boy is brought to his pediatrician for a follow-up visit.,228,MedBullets df_op4 Q229,C,He has lost 10 pounds since his annual visit the year before and is the same height.,8,8
His parents report that he is doing well in school and has many friends.,1,12,0.0,His parents report that he is doing well in school and has many friends.,228,MedBullets df_op4 Q229,C,He undergoes an abdominal CT that shows disease affecting the terminal ileum.,12,12
"Their only concern is that he has a “difficult stomach.” Every few months, he complains of intermittent abdominal pain that takes several days to pass.",2,3,35.04673840850592,"Their only concern is that he has a “difficult stomach.” Every few months, he complains of intermittent abdominal pain that takes several days to pass.",228,MedBullets df_op4 Q229,C,He occasionally misses school due to the pain.,3,3
He occasionally misses school due to the pain.,3,9,3.0422299239492383,He occasionally misses school due to the pain.,228,MedBullets df_op4 Q229,C,"On physical exam, the patient is thin with conjunctival pallor.",9,9
There is blood in his stool during these episodes.,4,11,0.0,There is blood in his stool during these episodes.,228,MedBullets df_op4 Q229,C,He also has the findings seen in Figure A.,11,11
These symptoms have persisted for many years.,5,7,5.757549682562375,These symptoms have persisted for many years.,228,MedBullets df_op4 Q229,C,"His temperature is 98.2°F (36.8°C), blood pressure is 106/61 mmHg, pulse is 88/min, and respirations are 12/min.",7,7
The parents have so far managed the condition using herbal teas and essential oils but have not sought formal medical care.,6,1,46.85989973162289,The parents have so far managed the condition using herbal teas and essential oils but have not sought formal medical care.,228,MedBullets df_op4 Q229,C,His parents report that he is doing well in school and has many friends.,1,1
"His temperature is 98.2°F (36.8°C), blood pressure is 106/61 mmHg, pulse is 88/min, and respirations are 12/min.",7,6,8.792503149491951,"His temperature is 98.2°F (36.8°C), blood pressure is 106/61 mmHg, pulse is 88/min, and respirations are 12/min.",228,MedBullets df_op4 Q229,C,The parents have so far managed the condition using herbal teas and essential oils but have not sought formal medical care.,6,6
He has lost 10 pounds since his annual visit the year before and is the same height.,8,5,25.16757495535697,He has lost 10 pounds since his annual visit the year before and is the same height.,228,MedBullets df_op4 Q229,C,These symptoms have persisted for many years.,5,5
"On physical exam, the patient is thin with conjunctival pallor.",9,4,25.30415625128199,"On physical exam, the patient is thin with conjunctival pallor.",228,MedBullets df_op4 Q229,C,There is blood in his stool during these episodes.,4,4
His sclerae are anicteric and his abdomen is soft and non-tender without hepatosplenomegaly.,10,0,75.00485540180898,His sclerae are anicteric and his abdomen is soft and non-tender without hepatosplenomegaly.,228,MedBullets df_op4 Q229,C,A 15-year-old boy is brought to his pediatrician for a follow-up visit.,0,0
He also has the findings seen in Figure A.,11,10,0.0,He also has the findings seen in Figure A.,228,MedBullets df_op4 Q229,C,His sclerae are anicteric and his abdomen is soft and non-tender without hepatosplenomegaly.,10,10
He undergoes an abdominal CT that shows disease affecting the terminal ileum.,12,2,46.76049380664965,He undergoes an abdominal CT that shows disease affecting the terminal ileum.,228,MedBullets df_op4 Q229,C,"Their only concern is that he has a “difficult stomach.” Every few months, he complains of intermittent abdominal pain that takes several days to pass.",2,2
