Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 10-year-old girl is admitted to the medical floor for a respiratory infection.,0,21.81648650761017,A 10-year-old girl is admitted to the medical floor for a respiratory infection.,7,33,MedBullets df_op4 Q34,A,She also recently had magnetic resonance imaging (MRI) of her chest which demonstrated dilation of her airways.,7,7
The patient lives in a foster home and has been admitted many times.,1,-0.0,The patient lives in a foster home and has been admitted many times.,10,33,MedBullets df_op4 Q34,A,The rest of the exam is deferred because the patient starts crying.,10,10
"Since birth, the patient has had repeated episodes of pain/pressure over her frontal sinuses and a chronic cough that produces mucus.",2,34.08173481747508,"Since birth, the patient has had repeated episodes of pain/pressure over her frontal sinuses and a chronic cough that produces mucus.",3,33,MedBullets df_op4 Q34,A,She was recently treated with amoxicillin for an infection.,3,3
She was recently treated with amoxicillin for an infection.,3,5.6319417995558645,She was recently treated with amoxicillin for an infection.,9,33,MedBullets df_op4 Q34,A,Physical exam is notable for bruises along the patient's shins which the guardians state are from playing soccer.,9,9
The patient is in the 25th percentile for height and weight which has been constant since birth.,4,18.896536871005743,The patient is in the 25th percentile for height and weight which has been constant since birth.,8,33,MedBullets df_op4 Q34,A,"Her temperature is 99.5°F (37.5°C), blood pressure is 90/58 mmHg, pulse is 120/min, respirations are 18/min, and oxygen saturation is 94% on room air.",8,8
Her guardians state that the patient has normal bowel movements and has been gaining weight appropriately.,5,53.66160171714309,Her guardians state that the patient has normal bowel movements and has been gaining weight appropriately.,0,33,MedBullets df_op4 Q34,A,A 10-year-old girl is admitted to the medical floor for a respiratory infection.,0,0
The patient has a history of tricuspid stenosis.,6,25.78211597011281,The patient has a history of tricuspid stenosis.,6,33,MedBullets df_op4 Q34,A,The patient has a history of tricuspid stenosis.,6,6
She also recently had magnetic resonance imaging (MRI) of her chest which demonstrated dilation of her airways.,7,50.71419694308861,She also recently had magnetic resonance imaging (MRI) of her chest which demonstrated dilation of her airways.,1,33,MedBullets df_op4 Q34,A,The patient lives in a foster home and has been admitted many times.,1,1
"Her temperature is 99.5°F (37.5°C), blood pressure is 90/58 mmHg, pulse is 120/min, respirations are 18/min, and oxygen saturation is 94% on room air.",8,29.753051682705586,"Her temperature is 99.5°F (37.5°C), blood pressure is 90/58 mmHg, pulse is 120/min, respirations are 18/min, and oxygen saturation is 94% on room air.",5,33,MedBullets df_op4 Q34,A,Her guardians state that the patient has normal bowel movements and has been gaining weight appropriately.,5,5
Physical exam is notable for bruises along the patient's shins which the guardians state are from playing soccer.,9,47.02725142991819,Physical exam is notable for bruises along the patient's shins which the guardians state are from playing soccer.,2,33,MedBullets df_op4 Q34,A,"Since birth, the patient has had repeated episodes of pain/pressure over her frontal sinuses and a chronic cough that produces mucus.",2,2
The rest of the exam is deferred because the patient starts crying.,10,33.991137013873775,The rest of the exam is deferred because the patient starts crying.,4,33,MedBullets df_op4 Q34,A,The patient is in the 25th percentile for height and weight which has been constant since birth.,4,4
