Sentence_x,sentence_ID,Score,Source,Original_Position,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 15-year-old boy presents to his pediatrician after an appendectomy 1 week ago.,0,22.383931794553828,A 15-year-old boy presents to his pediatrician after an appendectomy 1 week ago.,4,22,MedBullets df_op4 Q23,A,His urine appears more amber than usual but he suspects dehydration.,4,4
"The patient denies any abdominal pain, fevers, chills, nausea, vomiting, diarrhea, or constipation.",1,31.662603807517524,"The patient denies any abdominal pain, fevers, chills, nausea, vomiting, diarrhea, or constipation.",3,22,MedBullets df_op4 Q23,A,He is back to playing basketball for his school team without any difficulty.,3,3
He eats solids and drinks liquids without difficulty.,2,20.63338788226247,He eats solids and drinks liquids without difficulty.,5,22,MedBullets df_op4 Q23,A,"His temperature is 98.6°F (37°C), blood pressure is 110/70 mmHg, pulse is 76/min, and respirations are 15/min.",5,5
He is back to playing basketball for his school team without any difficulty.,3,14.775767253408292,He is back to playing basketball for his school team without any difficulty.,6,22,MedBullets df_op4 Q23,A,His physical exam is unremarkable.,6,6
His urine appears more amber than usual but he suspects dehydration.,4,50.22060001402419,His urine appears more amber than usual but he suspects dehydration.,1,22,MedBullets df_op4 Q23,A,"The patient denies any abdominal pain, fevers, chills, nausea, vomiting, diarrhea, or constipation.",1,1
"His temperature is 98.6°F (37°C), blood pressure is 110/70 mmHg, pulse is 76/min, and respirations are 15/min.",5,49.91536502860935,"His temperature is 98.6°F (37°C), blood pressure is 110/70 mmHg, pulse is 76/min, and respirations are 15/min.",2,22,MedBullets df_op4 Q23,A,He eats solids and drinks liquids without difficulty.,2,2
His physical exam is unremarkable.,6,4.128065281284169,His physical exam is unremarkable.,7,22,MedBullets df_op4 Q23,A,The laparoscopic incision sites are all clean without erythema.,7,7
The laparoscopic incision sites are all clean without erythema.,7,-0.0,The laparoscopic incision sites are all clean without erythema.,9,22,MedBullets df_op4 Q23,A,"Urine: Epithelial cells: Scant Glucose: Negative Protein: 3+ WBC: 3/hpf Bacteria: None Leukocyte esterase: Negative Nitrites: Negative The patient is told to return in 3 days for a follow-up appointment; however, his urinalysis at that time is similar.",9,9
"The pediatrician orders a urinalysis, which is notable for the following.",8,0.0,"The pediatrician orders a urinalysis, which is notable for the following.",8,22,MedBullets df_op4 Q23,A,"The pediatrician orders a urinalysis, which is notable for the following.",8,8
"Urine: Epithelial cells: Scant Glucose: Negative Protein: 3+ WBC: 3/hpf Bacteria: None Leukocyte esterase: Negative Nitrites: Negative The patient is told to return in 3 days for a follow-up appointment; however, his urinalysis at that time is similar.",9,201.96861205418944,"Urine: Epithelial cells: Scant Glucose: Negative Protein: 3+ WBC: 3/hpf Bacteria: None Leukocyte esterase: Negative Nitrites: Negative The patient is told to return in 3 days for a follow-up appointment; however, his urinalysis at that time is similar.",0,22,MedBullets df_op4 Q23,A,A 15-year-old boy presents to his pediatrician after an appendectomy 1 week ago.,0,0
