Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 23-year-old man presents to the emergency department.,0,10,0.0,A 23-year-old man presents to the emergency department.,205,MedBullets df_op4 Q206,A,"The patient's treatment history is significant for failure to obtain symptom control with risperidone, haloperidol, and ziprasidone.",10,10
He was brought in by police for shouting on a subway.,1,9,0.0,He was brought in by police for shouting on a subway.,205,MedBullets df_op4 Q206,A,"His temperature is 98.6°F (37°C), blood pressure is 115/71 mmHg, pulse is 72/min, and respirations are 12/min.",9,9
The patient claims that little people were trying to kill him and he was acting within his rights to defend himself.,2,3,66.91350733861327,The patient claims that little people were trying to kill him and he was acting within his rights to defend himself.,205,MedBullets df_op4 Q206,A,The patient has a medical history of marijuana and IV drug use as well as multiple suicide attempts.,3,3
The patient has a medical history of marijuana and IV drug use as well as multiple suicide attempts.,3,4,32.56638123528311,The patient has a medical history of marijuana and IV drug use as well as multiple suicide attempts.,205,MedBullets df_op4 Q206,A,He is currently homeless.,4,4
He is currently homeless.,4,7,0.0,He is currently homeless.,205,MedBullets df_op4 Q206,A,The patient is transferred to the inpatient psychiatric unit and is continued on haloperidol throughout the next week.,7,7
"While in the ED, the patient is combative and refuses a physical exam.",5,8,0.0,"While in the ED, the patient is combative and refuses a physical exam.",205,MedBullets df_op4 Q206,A,"Though he is no longer aggressive, he is seen making ""armor"" out of paper plates and plastic silverware to defend himself.",8,8
He is given IM haloperidol and diphenhydramine.,6,5,20.500462212599707,He is given IM haloperidol and diphenhydramine.,205,MedBullets df_op4 Q206,A,"While in the ED, the patient is combative and refuses a physical exam.",5,5
The patient is transferred to the inpatient psychiatric unit and is continued on haloperidol throughout the next week.,7,6,20.312686646265607,The patient is transferred to the inpatient psychiatric unit and is continued on haloperidol throughout the next week.,205,MedBullets df_op4 Q206,A,He is given IM haloperidol and diphenhydramine.,6,6
"Though he is no longer aggressive, he is seen making ""armor"" out of paper plates and plastic silverware to defend himself.",8,0,78.62459510646062,"Though he is no longer aggressive, he is seen making ""armor"" out of paper plates and plastic silverware to defend himself.",205,MedBullets df_op4 Q206,A,A 23-year-old man presents to the emergency department.,0,0
"His temperature is 98.6°F (37°C), blood pressure is 115/71 mmHg, pulse is 72/min, and respirations are 12/min.",9,1,72.46807908714202,"His temperature is 98.6°F (37°C), blood pressure is 115/71 mmHg, pulse is 72/min, and respirations are 12/min.",205,MedBullets df_op4 Q206,A,He was brought in by police for shouting on a subway.,1,1
"The patient's treatment history is significant for failure to obtain symptom control with risperidone, haloperidol, and ziprasidone.",10,2,70.30143092763109,"The patient's treatment history is significant for failure to obtain symptom control with risperidone, haloperidol, and ziprasidone.",205,MedBullets df_op4 Q206,A,The patient claims that little people were trying to kill him and he was acting within his rights to defend himself.,2,2
