Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
A 6-year-old boy is brought to the emergency department by his father for elbow pain.,0,1,58.26833360090632,A 6-year-old boy is brought to the emergency department by his father for elbow pain.,70,MedBullets df_op4 Q71,A,He was riding his bicycle when he fell onto his outstretched right hand.,1,1
He was riding his bicycle when he fell onto his outstretched right hand.,1,6,7.60992598826885,He was riding his bicycle when he fell onto his outstretched right hand.,70,MedBullets df_op4 Q71,A,"On exam, the boy is holding his right wrist with his left hand and cries upon palpation of a region that is 2 cm proximal to his elbow.",6,6
He immediately clutched his right elbow in pain and began crying.,2,7,4.988358199596405,He immediately clutched his right elbow in pain and began crying.,70,MedBullets df_op4 Q71,A,The radial head is palpated just distal to the lateral epicondyle.,7,7
He refuses to move his elbow.,3,10,0.0,He refuses to move his elbow.,70,MedBullets df_op4 Q71,A,The radial pulse is diminished on the right.,10,10
He has no medical problems and takes no medications.,4,9,0.0,He has no medical problems and takes no medications.,70,MedBullets df_op4 Q71,A,"When asked to hold a pen between his right thumb and index fingers, he drops it.",9,9
"His temperature is 98.4°F (36.9°C), blood pressure is 108/64 mmHg, pulse is 100/min, and respirations are 20/min.",5,0,72.01778637104108,"His temperature is 98.4°F (36.9°C), blood pressure is 108/64 mmHg, pulse is 100/min, and respirations are 20/min.",70,MedBullets df_op4 Q71,A,A 6-year-old boy is brought to the emergency department by his father for elbow pain.,0,0
"On exam, the boy is holding his right wrist with his left hand and cries upon palpation of a region that is 2 cm proximal to his elbow.",6,2,57.363772045387584,"On exam, the boy is holding his right wrist with his left hand and cries upon palpation of a region that is 2 cm proximal to his elbow.",70,MedBullets df_op4 Q71,A,He immediately clutched his right elbow in pain and began crying.,2,2
The radial head is palpated just distal to the lateral epicondyle.,7,3,48.26174934511475,The radial head is palpated just distal to the lateral epicondyle.,70,MedBullets df_op4 Q71,A,He refuses to move his elbow.,3,3
He is unable to make a pincer with his right thumb and index finger.,8,4,40.23593207712624,He is unable to make a pincer with his right thumb and index finger.,70,MedBullets df_op4 Q71,A,He has no medical problems and takes no medications.,4,4
"When asked to hold a pen between his right thumb and index fingers, he drops it.",9,8,-0.0,"When asked to hold a pen between his right thumb and index fingers, he drops it.",70,MedBullets df_op4 Q71,A,He is unable to make a pincer with his right thumb and index finger.,8,8
The radial pulse is diminished on the right.,10,5,9.416178312520874,The radial pulse is diminished on the right.,70,MedBullets df_op4 Q71,A,"His temperature is 98.4°F (36.9°C), blood pressure is 108/64 mmHg, pulse is 100/min, and respirations are 20/min.",5,5
