Sentence_x,sentence_ID,Original_Position,Score,Source,row_index,QA_ID,Extracted_Answer,Sentence_y,sentence_ID_x,sentence_ID_y
"A 25-year-old woman presents to her primary care physician complaining of recent hair growth along her jawline, now requiring her to shave every 2 days.",0,3,40.436009031386114,"A 25-year-old woman presents to her primary care physician complaining of recent hair growth along her jawline, now requiring her to shave every 2 days.",139,MedBullets df_op4 Q140,A,Her last menstrual period was 3 months ago.,3,3
She has not shaved in about a week.,1,9,-0.0,She has not shaved in about a week.,139,MedBullets df_op4 Q140,A,Transvaginal ultrasound is performed and shown in Figure A.,9,9
"She has also gained about 10 pounds in the last several months, and her periods have become irregular over the last year.",2,4,31.91343857347965,"She has also gained about 10 pounds in the last several months, and her periods have become irregular over the last year.",139,MedBullets df_op4 Q140,A,"Her temperature is 98.6°F (37.0°C), pulse is 72/min, blood pressure is 136/86 mmHg, and respirations are 13/min.",4,4
Her last menstrual period was 3 months ago.,3,8,0.0,Her last menstrual period was 3 months ago.,139,MedBullets df_op4 Q140,A,"A pelvic exam reveals normal external genitalia, a mobile and non-tender 6-week-sized uterus, and no adnexal masses or tenderness.",8,8
"Her temperature is 98.6°F (37.0°C), pulse is 72/min, blood pressure is 136/86 mmHg, and respirations are 13/min.",4,2,69.9206377039093,"Her temperature is 98.6°F (37.0°C), pulse is 72/min, blood pressure is 136/86 mmHg, and respirations are 13/min.",139,MedBullets df_op4 Q140,A,"She has also gained about 10 pounds in the last several months, and her periods have become irregular over the last year.",2,2
Her BMI is 26 kg/m^2.,5,5,14.757618916838831,Her BMI is 26 kg/m^2.,139,MedBullets df_op4 Q140,A,Her BMI is 26 kg/m^2.,5,5
Her skin exam reveals hirsutism along the jawline and acanthosis nigricans in the axillary folds.,6,0,91.85297745508032,Her skin exam reveals hirsutism along the jawline and acanthosis nigricans in the axillary folds.,139,MedBullets df_op4 Q140,A,"A 25-year-old woman presents to her primary care physician complaining of recent hair growth along her jawline, now requiring her to shave every 2 days.",0,0
Cardiopulmonary and abdominal exams are unremarkable.,7,6,0.7159617626972886,Cardiopulmonary and abdominal exams are unremarkable.,139,MedBullets df_op4 Q140,A,Her skin exam reveals hirsutism along the jawline and acanthosis nigricans in the axillary folds.,6,6
"A pelvic exam reveals normal external genitalia, a mobile and non-tender 6-week-sized uterus, and no adnexal masses or tenderness.",8,1,79.85087322350923,"A pelvic exam reveals normal external genitalia, a mobile and non-tender 6-week-sized uterus, and no adnexal masses or tenderness.",139,MedBullets df_op4 Q140,A,She has not shaved in about a week.,1,1
Transvaginal ultrasound is performed and shown in Figure A.,9,7,0.0,Transvaginal ultrasound is performed and shown in Figure A.,139,MedBullets df_op4 Q140,A,Cardiopulmonary and abdominal exams are unremarkable.,7,7
