Origin,Question,Labels,Category,Combination
ID0003,q2,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0003,q3,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0003,q4,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0003,q5,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0003,q6,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0003,q7,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0003,q8,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0003,q9,"('not applicable', 'not applicable')",Other,
ID0003,q10,"('not applicable', 'not applicable')",Other,
ID0003,q11,"('not applicable', 'not applicable')",Other,
ID0003,q12,"('not applicable', 'not applicable')",Other,
ID0003,q13,"('not applicable', 'not applicable')",Other,
ID0003,q14,"('not applicable', 'not applicable')",Other,
ID0003,q15,"('not applicable', 'not applicable')",Other,
ID0003,q16,"('not applicable', 'not applicable')",Other,
ID0003,q17,"('not applicable', 'not applicable')",Other,
ID0003,q18,"('not applicable', 'not applicable')",Other,
ID0003,q19,"('not applicable', 'not applicable')",Other,
ID0003,q20,"('not applicable', 'not applicable')",Other,
ID0003,q21,"('not applicable', 'not applicable')",Other,
ID0003,q22,"('not applicable', 'not applicable')",Other,
ID0015,q2,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0015,q3,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0015,q4,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0015,q5,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0015,q6,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0015,q7,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0015,q8,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0015,q9,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0015,q10,"('Irr', 'Low')",Low Relevance Labels,"('Low', 'Irr')"
ID0015,q11,"('Irr', 'not applicable')",Other,
ID0015,q12,"('not applicable', 'not applicable')",Other,
ID0015,q13,"('not applicable', 'not applicable')",Other,
ID0015,q14,"('not applicable', 'not applicable')",Other,
ID0015,q15,"('not applicable', 'not applicable')",Other,
ID0015,q16,"('not applicable', 'not applicable')",Other,
ID0015,q17,"('not applicable', 'not applicable')",Other,
ID0015,q18,"('not applicable', 'not applicable')",Other,
ID0015,q19,"('not applicable', 'not applicable')",Other,
ID0015,q20,"('not applicable', 'not applicable')",Other,
ID0015,q21,"('not applicable', 'not applicable')",Other,
ID0015,q22,"('not applicable', 'not applicable')",Other,
ID0017,q2,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0017,q3,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0017,q4,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0017,q5,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0017,q6,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0017,q7,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0025,q2,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0025,q3,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0025,q4,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0025,q5,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0025,q6,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0025,q7,"('not applicable', 'not applicable')",Other,
ID0025,q8,"('not applicable', 'not applicable')",Other,
ID0025,q9,"('not applicable', 'not applicable')",Other,
ID0025,q10,"('not applicable', 'not applicable')",Other,
ID0025,q11,"('not applicable', 'not applicable')",Other,
ID0025,q12,"('not applicable', 'not applicable')",Other,
ID0025,q13,"('not applicable', 'not applicable')",Other,
ID0025,q14,"('not applicable', 'not applicable')",Other,
ID0025,q15,"('not applicable', 'not applicable')",Other,
ID0025,q16,"('not applicable', 'not applicable')",Other,
ID0025,q17,"('not applicable', 'not applicable')",Other,
ID0025,q18,"('not applicable', 'not applicable')",Other,
ID0025,q19,"('not applicable', 'not applicable')",Other,
ID0025,q20,"('not applicable', 'not applicable')",Other,
ID0025,q21,"('not applicable', 'not applicable')",Other,
ID0025,q22,"('not applicable', 'not applicable')",Other,
ID0027,q2,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0027,q3,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0027,q4,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0027,q5,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0027,q6,"('Irr', 'Low')",Low Relevance Labels,"('Low', 'Irr')"
ID0027,q7,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0027,q8,"('High', 'Irr')",Low Relevance Labels,"('High', 'Irr')"
ID0027,q9,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0027,q10,"('not applicable', 'not applicable')",Other,
ID0027,q11,"('not applicable', 'not applicable')",Other,
ID0027,q12,"('not applicable', 'not applicable')",Other,
ID0027,q13,"('not applicable', 'not applicable')",Other,
ID0027,q14,"('not applicable', 'not applicable')",Other,
ID0027,q15,"('not applicable', 'not applicable')",Other,
ID0027,q16,"('not applicable', 'not applicable')",Other,
ID0027,q17,"('not applicable', 'not applicable')",Other,
ID0027,q18,"('not applicable', 'not applicable')",Other,
ID0027,q19,"('not applicable', 'not applicable')",Other,
ID0027,q20,"('not applicable', 'not applicable')",Other,
ID0027,q21,"('not applicable', 'not applicable')",Other,
ID0027,q22,"('not applicable', 'not applicable')",Other,
ID0029,q2,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0029,q3,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0029,q4,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0029,q5,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0029,q6,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0029,q7,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0029,q8,"('High', 'Irr')",Low Relevance Labels,"('High', 'Irr')"
ID0029,q9,"('High', 'Irr')",Low Relevance Labels,"('High', 'Irr')"
ID0029,q10,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0029,q11,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0029,q12,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0041,q2,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0041,q3,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0041,q4,"('Irr', 'Low')",Low Relevance Labels,"('Low', 'Irr')"
ID0041,q5,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0041,q6,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0041,q7,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0041,q8,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0041,q9,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0041,q10,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0041,q11,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0041,q12,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0041,q13,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0041,q14,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0041,q15,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0041,q16,"('not applicable', 'not applicable')",Other,
ID0041,q17,"('not applicable', 'not applicable')",Other,
ID0041,q18,"('not applicable', 'not applicable')",Other,
ID0041,q19,"('not applicable', 'not applicable')",Other,
ID0041,q20,"('not applicable', 'not applicable')",Other,
ID0041,q21,"('not applicable', 'not applicable')",Other,
ID0041,q22,"('not applicable', 'not applicable')",Other,
ID0044,q2,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0044,q3,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0044,q4,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0044,q5,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0044,q6,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0044,q7,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0044,q8,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0044,q9,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0044,q10,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0044,q11,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0044,q12,"('High', 'Irr')",Low Relevance Labels,"('High', 'Irr')"
ID0044,q13,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0044,q14,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0044,q15,"('not applicable', 'not applicable')",Other,
ID0044,q16,"('not applicable', 'not applicable')",Other,
ID0044,q17,"('not applicable', 'not applicable')",Other,
ID0044,q18,"('not applicable', 'not applicable')",Other,
ID0044,q19,"('not applicable', 'not applicable')",Other,
ID0044,q20,"('not applicable', 'not applicable')",Other,
ID0044,q21,"('not applicable', 'not applicable')",Other,
ID0044,q22,"('not applicable', 'not applicable')",Other,
ID0049,q2,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0049,q3,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0049,q4,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0049,q5,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0049,q6,"('High', 'Irr')",Low Relevance Labels,"('High', 'Irr')"
ID0049,q7,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0049,q8,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0049,q9,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0049,q10,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0049,q11,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0049,q12,"('High', 'Irr')",Low Relevance Labels,"('High', 'Irr')"
ID0049,q13,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0049,q14,"('not applicable', 'not applicable')",Other,
ID0049,q15,"('not applicable', 'not applicable')",Other,
ID0049,q16,"('not applicable', 'not applicable')",Other,
ID0049,q17,"('not applicable', 'not applicable')",Other,
ID0049,q18,"('not applicable', 'not applicable')",Other,
ID0049,q19,"('not applicable', 'not applicable')",Other,
ID0049,q20,"('not applicable', 'not applicable')",Other,
ID0049,q21,"('not applicable', 'not applicable')",Other,
ID0049,q22,"('not applicable', 'not applicable')",Other,
ID0060,q2,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0060,q3,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0060,q4,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0060,q5,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0060,q6,"('Irr', 'Low')",Low Relevance Labels,"('Low', 'Irr')"
ID0060,q7,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0060,q8,"('Irr', 'Irr')",Irrelevant Labels,"('Irr', 'Irr')"
ID0060,q9,"('not applicable', 'not applicable')",Other,
ID0060,q10,"('not applicable', 'not applicable')",Other,
ID0060,q11,"('not applicable', 'not applicable')",Other,
ID0060,q12,"('not applicable', 'not applicable')",Other,
ID0060,q13,"('not applicable', 'not applicable')",Other,
ID0060,q14,"('not applicable', 'not applicable')",Other,
ID0060,q15,"('not applicable', 'not applicable')",Other,
ID0060,q16,"('not applicable', 'not applicable')",Other,
ID0060,q17,"('not applicable', 'not applicable')",Other,
ID0060,q18,"('not applicable', 'not applicable')",Other,
ID0060,q19,"('not applicable', 'not applicable')",Other,
ID0060,q20,"('not applicable', 'not applicable')",Other,
ID0060,q21,"('not applicable', 'not applicable')",Other,
ID0060,q22,"('not applicable', 'not applicable')",Other,
ID0063,q2,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0063,q3,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0063,q4,"('Irr', 'Irr')",Irrelevant Labels,"('Irr', 'Irr')"
ID0063,q5,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0063,q6,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0072,q2,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0072,q3,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0072,q4,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0072,q5,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0072,q6,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0072,q7,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0072,q8,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0072,q9,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0072,q10,"('Low', 'Low')",Low Relevance Labels,"('Low', 'Low')"
ID0072,q11,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0072,q12,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0072,q13,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0072,q14,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0072,q15,"('not applicable', 'not applicable')",Other,
ID0072,q16,"('not applicable', 'not applicable')",Other,
ID0072,q17,"('not applicable', 'not applicable')",Other,
ID0072,q18,"('not applicable', 'not applicable')",Other,
ID0072,q19,"('not applicable', 'not applicable')",Other,
ID0072,q20,"('not applicable', 'not applicable')",Other,
ID0072,q21,"('not applicable', 'not applicable')",Other,
ID0072,q22,"('not applicable', 'not applicable')",Other,
ID0074,q2,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0074,q3,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0074,q4,"('Irr', 'Low')",Low Relevance Labels,"('Low', 'Irr')"
ID0074,q5,"('Irr', 'Low')",Low Relevance Labels,"('Low', 'Irr')"
ID0074,q6,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0074,q7,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0074,q8,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0074,q9,"('High', 'Low')",High Relevance Labels,"('High', 'Low')"
ID0074,q10,"('High', 'High')",High Relevance Labels,"('High', 'High')"
ID0074,q11,"('not applicable', 'not applicable')",Other,
