"Case ID","Origin","Origin Created At","Content ID","URL","Labeling State","Has Consensus?","Qualified Reads","Correct Label","Majority Label","Difficulty","Agreement","Static Highlight Ranges","First Choice Answer","First Choice Votes","First Choice Weight","Second Choice Answer","Second Choice Votes","Second Choice Weight","Third Choice Answer","Third Choice Votes","Third Choice Weight","Fourth Choice Answer","Fourth Choice Votes","Fourth Choice Weight","Fifth Choice Answer","Fifth Choice Votes","Fifth Choice Weight","Sixth Choice Answer","Sixth Choice Votes","Sixth Choice Weight","Seventh Choice Answer","Seventh Choice Votes","Seventh Choice Weight","Eighth Choice Answer","Eighth Choice Votes","Eighth Choice Weight","Pre-Answer Explainer","Internal Notes","Comments","Flags","Explanation","Series","Series Index","Patch","DICOM Study UID","DICOM Series UID","DICOM Instance UID","Tags"
"25734071","ID239","2025-05-12 21:56:13+00:00","58431295","https://go.centaurlabs.com/task/5166/case/25734071","Labeled","Yes","3","'b'","'b'","","0.667","","'b'","2","0.02","'j'","1","0.01","'a'","0","0.0","'c'","0","0.0","'d'","0","0.0","'e'","0","0.0","'f'","0","0.0","'g'","0","0.0","","","[]","[]","","","","","","","","[]"
"25734072","ID222","2025-05-12 21:56:13+00:00","58431294","https://go.centaurlabs.com/task/5166/case/25734072","Labeled","Yes","3","'b'","'b'","","0.667","","'b'","2","0.02","'j'","1","0.01","'a'","0","0.0","'c'","0","0.0","'d'","0","0.0","'e'","0","0.0","'f'","0","0.0","'g'","0","0.0","","","[]","[{'messages': ['incomplete history - no age no sex no pmhx,'], 'labeler_id': 591924}]","","","","","","","","[]"
"25734073","ID197","2025-05-12 21:56:13+00:00","58431293","https://go.centaurlabs.com/task/5166/case/25734073","Labeled","Yes","3","'a'","'a'","","0.667","","'a'","2","0.02","'i'","1","0.01","'b'","0","0.0","'c'","0","0.0","'d'","0","0.0","'e'","0","0.0","'f'","0","0.0","'g'","0","0.0","","","[]","[]","","","","","","","","[]"
"25734074","ID128","2025-05-12 21:56:13+00:00","58431292","https://go.centaurlabs.com/task/5166/case/25734074","Labeled","Yes","3","'g'","'g'","","0.667","","'g'","2","0.02","'i'","1","0.01","'a'","0","0.0","'b'","0","0.0","'c'","0","0.0","'d'","0","0.0","'e'","0","0.0","'f'","0","0.0","","","[]","[]","","","","","","","","[]"
"25734075","ID100","2025-05-12 21:56:13+00:00","58431291","https://go.centaurlabs.com/task/5166/case/25734075","Labeled","Yes","3","'i'","'i'","","0.333","","'a'","1","0.01","'e'","1","0.01","'i'","1","0.01","'b'","0","0.0","'c'","0","0.0","'d'","0","0.0","'f'","0","0.0","'g'","0","0.0","","","[]","[]","","","","","","","","[]"
"25734076","ID096","2025-05-12 21:56:13+00:00","58431290","https://go.centaurlabs.com/task/5166/case/25734076","Labeled","Yes","3","'g'","'g'","","0.667","","'g'","2","0.02","'j'","1","0.01","'a'","0","0.0","'b'","0","0.0","'c'","0","0.0","'d'","0","0.0","'e'","0","0.0","'f'","0","0.0","","","[]","[]","","","","","","","","[]"
"25734077","ID094","2025-05-12 21:56:13+00:00","58431289","https://go.centaurlabs.com/task/5166/case/25734077","Labeled","Yes","3","'j'","'j'","","0.333","","'g'","1","0.01","'h'","1","0.01","'j'","1","0.01","'a'","0","0.0","'b'","0","0.0","'c'","0","0.0","'d'","0","0.0","'e'","0","0.0","","","[]","[]","","","","","","","","[]"
"25734078","ID060","2025-05-12 21:56:13+00:00","58431288","https://go.centaurlabs.com/task/5166/case/25734078","Labeled","Yes","3","'f'","'f'","","0.333","","'e'","1","0.01","'f'","1","0.01","'i'","1","0.01","'a'","0","0.0","'b'","0","0.0","'c'","0","0.0","'d'","0","0.0","'g'","0","0.0","","","[]","[]","","","","","","","","[]"
"25734079","ID044","2025-05-12 21:56:13+00:00","58431287","https://go.centaurlabs.com/task/5166/case/25734079","Labeled","Yes","3","'a'","'a'","","0.667","","'a'","2","0.02","'f'","1","0.01","'b'","0","0.0","'c'","0","0.0","'d'","0","0.0","'e'","0","0.0","'g'","0","0.0","'h'","0","0.0","","","[]","[]","","","","","","","","[]"
"25734080","ID231","2025-05-12 21:56:13+00:00","58431286","https://go.centaurlabs.com/task/5166/case/25734080","Labeled","Yes","3","'c'","'c'","","0.333","","'c'","1","0.01","'f'","1","0.01","'j'","1","0.01","'a'","0","0.0","'b'","0","0.0","'d'","0","0.0","'e'","0","0.0","'g'","0","0.0","","","[]","[]","","","","","","","","[]"
