Score,Source,row_index,QA_ID,Extracted_Answer
48.2562726792677,He has no pubic hair and his testicles are symmetric with a volume of 3 mL.,170,MedBullets df_op4 Q171,C
32.91238427891507,His height is 60 inches and his arm span is 50 inches.,170,MedBullets df_op4 Q171,C
15.006246730685234,He is concerned that he is not as tall as his classmates.,170,MedBullets df_op4 Q171,C
14.491990145753224,He recently started playing for his high school basketball team and generally eats healthy food.,170,MedBullets df_op4 Q171,C
12.799583247908389,A 16-year-old boy presents to his primary care physician for a routine follow-up visit.,170,MedBullets df_op4 Q171,C
10.19508758721286,"On physical examination, the patient does not have facial hair or acne.",170,MedBullets df_op4 Q171,C
6.619540384941358,"His temperature is 98.6°F (37.0°C), blood pressure is 115/70 mmHg, pulse is 70/min, and respirations are 12/min.",170,MedBullets df_op4 Q171,C
5.581162554968678,His visual fields are full and he has no cranial nerve abnormalities.,170,MedBullets df_op4 Q171,C
4.932002452487649,Chest palpation and abdominal examination are unremarkable.,170,MedBullets df_op4 Q171,C
0.0,His strength is 5/5 in bilateral upper and lower extremities.,170,MedBullets df_op4 Q171,C
0.0,He has no significant medical history and takes no medications.,170,MedBullets df_op4 Q171,C
0.0,"He denies any headache, vision changes, nausea, or vomiting.",170,MedBullets df_op4 Q171,C
0.0,He feels disappointed because his voice has not changed.,170,MedBullets df_op4 Q171,C
