Score,Source,row_index,QA_ID,Extracted_Answer
71.80856578893064,"The patient's temperature is 98.7°F (37.1°C), blood pressure is 58/41 mmHg, pulse is 166/min, and respirations are 16/min.",137,MedBullets df_op4 Q138,D
49.39839506149292,The vomitus appears to be normal stomach contents without streaks of red or green.,137,MedBullets df_op4 Q138,D
46.15010887980255,His parents have already tried repositioning him during mealtimes and switching his formula to eliminate cow’s milk and soy.,137,MedBullets df_op4 Q138,D
40.024013474989815,The patient is voiding about 4 times per day and his urine appears dark yellow.,137,MedBullets df_op4 Q138,D
29.476976088538425,He has fallen 1 standard deviation off of the growth curve.,137,MedBullets df_op4 Q138,D
29.23268638610886,"The patient's mother reports that the pregnancy was uncomplicated other than an episode of sinusitis in the 3rd trimester, for which she was treated with azithromycin.",137,MedBullets df_op4 Q138,D
19.96922138747943,A 7-week-old boy presents to the pediatrician for vomiting.,137,MedBullets df_op4 Q138,D
15.943666454320145,"His abdomen is soft, non-tender, and non-distended.",137,MedBullets df_op4 Q138,D
3.3378564895392864,"Despite these adjustments, the vomiting has become more frequent and forceful.",137,MedBullets df_op4 Q138,D
0.0,"On physical exam, the patient looks small for his age.",137,MedBullets df_op4 Q138,D
0.0,"Three weeks ago, the patient began vomiting after meals.",137,MedBullets df_op4 Q138,D
