Score,Source,row_index,QA_ID,Extracted_Answer
29.115276571542694,A head CT is performed and can be seen in Figure A.,190,MedBullets df_op4 Q191,B
27.609487909570415,"He suddenly developed a throbbing, bitemporal headache about 5 hours ago ""out of nowhere.""",190,MedBullets df_op4 Q191,B
18.14789116382599,"He has a history of migraine headaches, but he feels that this headache is significantly more painful than his typical migraines.",190,MedBullets df_op4 Q191,B
14.571933140297608,"On physical exam, he appears to be in moderate distress and has pain with neck flexion.",190,MedBullets df_op4 Q191,B
12.802411707433503,A 47-year-old man presents to the emergency department with a headache.,190,MedBullets df_op4 Q191,B
7.3125428317082735,The patient took his prescribed sumatriptan with no relief of his symptoms.,190,MedBullets df_op4 Q191,B
0.0,He drinks 5-6 beers per week.,190,MedBullets df_op4 Q191,B
0.0,He has no focal neurologic deficits.,190,MedBullets df_op4 Q191,B
0.0,"His temperature is 98.6°F (37°C), blood pressure is 147/91 mmHg, pulse is 62/min, and respirations are 12/min.",190,MedBullets df_op4 Q191,B
0.0,He also endorses nausea and he reports that he vomited once before arrival in the emergency department.,190,MedBullets df_op4 Q191,B
0.0,The patient denies any recent trauma to the head.,190,MedBullets df_op4 Q191,B
0.0,His medical history is significant for migraines and hypertension.,190,MedBullets df_op4 Q191,B
-0.0,He has a 20-pack-year smoking history and a history of cocaine use.,190,MedBullets df_op4 Q191,B
