row,col,ppl,data_source_corr
0,High,13.516196250915527,jama
0,High,17.69131851196289,jama
0,High,33.040679931640625,jama
0,High,49.95983123779297,jama
0,High,37.63325881958008,jama
0,Low,25.30890655517578,jama
0,Low,12.0121488571167,jama
0,Low,129.83993530273438,jama
0,Low,53.45164489746094,jama
0,Low,75.33090209960938,jama
0,Low,216.6696014404297,jama
1,High,15.38199234008789,medxpert
1,High,17.658218383789062,medxpert
1,High,60.17991638183594,medxpert
1,High,8.250760078430176,medxpert
1,High,19.572479248046875,medxpert
1,High,293.3031311035156,medxpert
1,Low,13.095061302185059,medxpert
2,High,16.46169090270996,medxpert
2,High,24.515260696411133,medxpert
2,High,24.859468460083008,medxpert
2,High,27.375469207763672,medxpert
2,Low,48.641883850097656,medxpert
2,Low,5.659392356872559,medxpert
2,Low,76.90734100341797,medxpert
3,High,26.546085357666016,mmlu
3,High,32.157047271728516,mmlu
3,High,25.682199478149414,mmlu
3,High,28.047828674316406,mmlu
3,High,20.820966720581055,mmlu
3,High,58.99626159667969,mmlu
3,Low,88.27511596679688,mmlu
4,High,18.336313247680664,jama
4,High,25.77243423461914,jama
4,High,31.024494171142578,jama
4,High,15.692459106445312,jama
4,High,22.484403610229492,jama
4,High,53.06397247314453,jama
4,Low,135.06446838378906,jama
5,High,25.332571029663086,jama
5,High,34.74006271362305,jama
5,High,45.66289520263672,jama
5,High,33.78218078613281,jama
5,High,54.96175765991211,jama
5,High,33.19478988647461,jama
5,High,40.60224533081055,jama
5,High,24.937786102294922,jama
5,Low,22.011104583740234,jama
5,Low,9.284428596496582,jama
5,Low,48.64042663574219,jama
5,Low,64.34354400634766,jama
6,High,18.802690505981445,jama
6,High,37.28903579711914,jama
6,High,14.410160064697266,jama
6,High,46.28697204589844,jama
6,High,38.060523986816406,jama
6,High,164.53067016601562,jama
6,High,27.549785614013672,jama
6,High,18.837705612182617,jama
6,High,155.50094604492188,jama
6,Low,57.20317840576172,jama
6,Low,156.74478149414062,jama
7,High,22.001543045043945,mmlu
7,High,20.129968643188477,mmlu
7,Low,7.415650844573975,mmlu
7,Low,45.14867401123047,mmlu
8,High,16.439353942871094,medxpert
8,High,40.32556915283203,medxpert
8,High,41.922061920166016,medxpert
8,High,235.68795776367188,medxpert
8,Low,63.4585075378418,medxpert
9,High,21.507898330688477,mmlu
9,High,9.599246978759766,mmlu
9,High,8.016228675842285,mmlu
9,High,22.947118759155273,mmlu
9,Low,29.5423526763916,mmlu
9,Low,17.66460609436035,mmlu
9,Low,31.853038787841797,mmlu
9,Low,36.51255798339844,mmlu
10,High,49.68482208251953,medbullets
10,High,26.293302536010742,medbullets
10,High,68.1290512084961,medbullets
10,High,6.853547096252441,medbullets
10,Low,14.26156234741211,medbullets
10,Low,5.416088104248047,medbullets
