4,4,1,4,4
4,4,4,4,4
4,4,4,4,4
4,4,1,4,4
4,4,1,4,4
4,4,4,4,4
4,4,4,4,4
4,4,1,4,4
4,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,NA,4,4,4
4,4,4,4,4
3,NA,4,4,4
4,4,4,4,4
2,2,2,4,4
4,4,4,4,4
4,4,1,4,4
4,4,4,4,4
4,4,4,4,4
3,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,NA,4,4,4
4,4,1,4,4
4,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
1,2,1,4,4
4,4,1,4,4
4,4,4,4,4
4,4,4,4,4
1,4,1,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,2,1,4,4
4,4,4,4,4
4,4,4,4,4
3,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
1,2,1,4,4
2,2,2,2,2
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
2,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,2,4,4,4
4,4,4,4,4
4,4,1,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,NA,1,4,4
4,4,4,4,4
4,4,4,4,4
4,4,1,1,4
2,2,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,2,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
2,4,4,4,4
1,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,1,4,4
4,2,1,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
2,2,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,1,4,4
4,4,4,NA,4
4,4,4,4,4
4,4,4,4,4
2,2,4,4,4
4,2,4,4,4
4,2,4,4,4
4,NA,4,4,4
2,2,1,4,4
4,4,4,4,4
2,2,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,1,4,4
4,2,1,4,4
4,4,1,4,4
2,2,1,4,4
4,4,4,4,4
4,NA,1,4,4
4,4,4,4,4
2,2,4,2,2
2,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,4,4,NA
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
3,4,4,4,4
3,4,4,4,4
2,2,2,2,2
4,2,1,4,4
4,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,4,1,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,2,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
2,2,2,2,2
4,NA,1,4,4
4,4,1,4,4
4,4,4,4,4
1,4,4,4,4
3,4,4,4,4
4,4,4,4,4
4,4,1,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,2,4,4,4
4,4,1,4,4
4,NA,4,4,4
2,2,2,2,2
4,4,4,4,4
4,4,4,4,4
4,4,1,4,4
4,4,4,4,4
4,NA,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
4,1,1,1,4
4,4,1,4,4
4,4,4,4,4
3,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
2,2,2,2,2
4,4,4,4,4
1,2,1,4,4
2,4,4,4,4
4,4,1,1,4
4,4,4,4,4
4,4,4,4,4
1,1,1,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
2,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,2,4,4,4
2,2,2,2,2
4,2,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,1,4,4
2,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,1,4,4
4,4,4,4,4
4,NA,4,4,4
2,2,1,4,NA
4,4,4,4,4
2,2,2,2,2
2,2,2,2,2
2,2,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
2,4,4,4,4
4,4,1,4,4
4,4,4,4,4
4,2,1,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
2,2,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,2,1,4,4
4,NA,4,4,4
2,4,4,4,4
4,4,4,4,4
3,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,1,4,4
4,NA,4,4,4
4,2,4,4,4
4,2,4,4,4
4,4,4,4,4
4,4,4,4,4
3,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,1,4,4
4,2,1,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,2,2,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
1,4,1,4,4
4,NA,4,4,4
4,2,4,4,4
4,4,4,4,4
4,2,4,4,4
1,1,1,1,1
3,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
1,4,1,4,NA
4,4,4,4,4
4,4,4,4,4
4,4,1,4,4
4,2,1,4,4
4,4,4,4,4
4,4,4,4,4
4,NA,4,4,4
4,NA,4,4,4
2,NA,4,4,4
4,NA,4,4,4
4,2,1,4,4
4,4,4,4,4
4,4,1,4,4
4,4,4,4,4
3,4,4,4,4
4,NA,4,4,4
4,NA,4,4,4
1,4,4,4,4
3,2,4,4,4
4,4,4,4,4
4,4,4,4,4
1,1,1,4,4
4,4,4,4,4
4,NA,4,4,4
4,NA,4,4,4
4,4,4,4,4
4,4,4,4,4
