3,NA,NA,NA,NA
2,2,2,NA,1
2,1,1,NA,NA
3,NA,1,NA,NA
3,2,1,NA,NA
1,1,1,1,NA
3,NA,NA,NA,NA
3,NA,1,NA,NA
3,NA,NA,NA,7
3,2,NA,NA,NA
3,NA,NA,NA,NA
3,NA,1,NA,NA
3,3,1,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
6,3,2,NA,NA
3,NA,NA,NA,NA
3,2,1,NA,NA
3,7,NA,NA,NA
3,NA,1,NA,NA
3,2,NA,7,NA
3,NA,1,7,NA
3,NA,NA,NA,NA
3,NA,NA,7,NA
3,1,1,NA,NA
3,NA,NA,NA,NA
3,2,1,NA,NA
3,NA,NA,NA,NA
3,2,NA,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
2,NA,1,NA,NA
3,7,NA,NA,NA
3,2,1,NA,NA
6,7,6,7,NA
3,NA,1,NA,NA
3,2,1,NA,NA
3,NA,NA,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
3,1,1,NA,NA
3,NA,NA,NA,NA
3,2,1,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
3,NA,NA,NA,NA
3,NA,NA,NA,7
3,NA,NA,NA,NA
3,NA,1,NA,NA
3,1,1,NA,NA
3,NA,NA,NA,NA
2,2,1,NA,NA
3,NA,1,NA,7
3,NA,NA,NA,NA
3,NA,NA,NA,7
3,NA,NA,NA,NA
2,2,1,NA,NA
3,2,NA,NA,NA
3,NA,NA,NA,NA
3,NA,NA,NA,7
3,NA,1,NA,NA
3,NA,NA,NA,NA
3,NA,1,NA,NA
3,NA,NA,NA,NA
3,NA,NA,NA,NA
3,NA,NA,NA,NA
3,NA,NA,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
3,NA,NA,NA,NA
3,NA,NA,NA,NA
3,2,1,NA,NA
3,NA,NA,NA,NA
3,NA,1,NA,NA
3,NA,NA,NA,NA
3,NA,NA,NA,NA
3,NA,NA,NA,7
3,1,1,NA,NA
3,NA,NA,NA,NA
2,NA,1,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
3,NA,1,NA,NA
3,7,NA,NA,NA
3,NA,NA,NA,NA
3,NA,NA,NA,NA
