Origin,QA_ID,data_source,sentence_num,Score_raw,score_normalized,rank,trainee_High_K,is_selected_topK
ID0002,Merge Q229,jama,1,0.0,0.5598855288818223,5,5,True
ID0002,Merge Q229,jama,2,0.0,0.5598855288818223,6,5,False
ID0002,Merge Q229,jama,3,0.8704452908083515,0.9048697441935207,2,5,True
ID0002,Merge Q229,jama,4,0.5294971615076065,0.7697415240849623,3,5,True
ID0002,Merge Q229,jama,5,0.0417803458902305,0.5764443637616194,4,5,True
ID0002,Merge Q229,jama,6,-1.4126725234851625,0.0,11,5,False
ID0002,Merge Q229,jama,7,0.0,0.5598855288818223,7,5,False
ID0002,Merge Q229,jama,8,0.0,0.5598855288818223,8,5,False
ID0002,Merge Q229,jama,9,-0.0,0.5598855288818223,9,5,False
ID0002,Merge Q229,jama,10,-0.0,0.5598855288818223,10,5,False
ID0002,Merge Q229,jama,11,1.1104727457031434,1.0,1,5,True
ID0003,Merge Q2235,medxpert,1,-0.0665191744673601,0.0061578482816771855,6,6,True
ID0003,Merge Q2235,medxpert,2,0.0221129689674124,0.04361763461519157,4,6,True
ID0003,Merge Q2235,medxpert,3,-0.0810890197753906,0.0,7,6,False
ID0003,Merge Q2235,medxpert,4,0.1461016523840529,0.0960206275765344,3,6,True
ID0003,Merge Q2235,medxpert,5,-0.0,0.03427173525387789,5,6,True
ID0003,Merge Q2235,medxpert,6,0.5819450818708065,0.28022695623714333,2,6,True
ID0003,Merge Q2235,medxpert,7,2.284972084942535,1.0,1,6,True
ID0010,Merge Q3192,medxpert,1,-0.0,0.5,1,4,True
ID0010,Merge Q3192,medxpert,2,0.0,0.5,2,4,True
ID0010,Merge Q3192,medxpert,3,0.0,0.5,3,4,True
ID0010,Merge Q3192,medxpert,4,-0.0,0.5,4,4,True
ID0010,Merge Q3192,medxpert,5,-0.0,0.5,5,4,False
ID0010,Merge Q3192,medxpert,6,0.0,0.5,6,4,False
ID0010,Merge Q3192,medxpert,7,0.0,0.5,7,4,False
ID0013,Merge Q3811,mmlu,1,4.173322809408801,0.3599147342200193,3,6,True
ID0013,Merge Q3811,mmlu,2,2.7169605964594856,0.18266542299876393,4,6,True
ID0013,Merge Q3811,mmlu,3,7.491531819105148,0.763763623065991,2,6,True
ID0013,Merge Q3811,mmlu,4,9.43255901024204,1.0,1,6,True
ID0013,Merge Q3811,mmlu,5,1.8390495686791624,0.07581760478156453,5,6,True
ID0013,Merge Q3811,mmlu,6,1.2160971074288935,0.0,7,6,False
ID0013,Merge Q3811,mmlu,7,1.7454001413815936,0.06441982451978238,6,6,True
